TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.136474	-0.287379	0.027896
14	0.154517	-0.273112	0.027896
22	0.159646	-0.269888	0.026423
31	0.164197	-0.267918	0.026423
39	0.169268	-0.265926	0.026423
102	0.182873	-0.249714	0.026937
117	0.182642	-0.247809	0.024233
125	0.182616	-0.245936	0.024233
132	0.181979	-0.243171	0.024233
138	0.180641	-0.241076	0.024233
148	0.179366	-0.239344	0.024233
157	0.179380	-0.237626	0.024233
167	0.178545	-0.235957	0.023646
174	0.176769	-0.233499	0.023646
185	0.173860	-0.231925	0.023646
194	0.170771	-0.230407	0.023646
202	0.168989	-0.228938	0.023646
210	0.165205	-0.226560	0.023646
220	0.162713	-0.225178	0.023277
230	0.160187	-0.223832	0.022728
239	0.157413	-0.222521	0.022728
247	0.154692	-0.220587	0.022728
258	0.151948	-0.219327	0.022728
943	0.642479	0.137128	-0.500000
950	0.641800	0.143897	-0.500000
960	0.641416	0.151774	-0.500000
968	0.644246	0.161841	-0.500000
978	0.646041	0.168556	-0.500000
987	0.647222	0.175261	-0.500000
1000	0.649546	0.181945	-0.500000
1015	0.653094	0.198577	-0.500000
1024	0.651463	0.206297	-0.500000
1076	0.631657	0.247854	-0.500000
1082	0.624267	0.258034	-0.500000
1095	0.619157	0.264037	-0.500000
1109	0.614509	0.270007	-0.500000
1121	0.607776	0.284540	-0.500000
1130	0.605895	0.290279	-0.500000
1140	0.604103	0.296912	-0.500000
1149	0.605230	0.302516	-0.500000
1158	0.606329	0.310843	-0.500000
1167	0.606425	0.316395	-0.500000
1176	0.605096	0.321910	-0.500000
1185	0.602775	0.327401	-0.500000
1194	0.600187	0.335399	-0.500000
1203	0.598779	0.341602	-0.500000
1217	0.597567	0.346902	-0.500000
1230	0.595144	0.357415	-0.500000
1239	0.593801	0.365160	-0.500000
1247	0.593675	0.370333	-0.500000
1257	0.594804	0.375513	-0.500000
1266	0.594715	0.380625	-0.500000
1275	0.593906	0.389029	-0.500000
1284	0.593153	0.394097	-0.500000
1293	0.592804	0.399198	-0.500000
1302	0.592651	0.404229	-0.500000
1310	0.592745	0.411690	-0.500000
1316	0.593001	0.415992	-0.500000
1329	0.595281	0.422576	-0.500000
1338	0.599403	0.427593	-0.500000
1347	0.606076	0.435130	-0.500000
1356	0.611322	0.440283	-0.500000
1365	0.616999	0.445412	-0.500000
1375	0.622186	0.450618	-0.500000
1383	0.627017	0.455861	-0.500000
1391	0.633688	0.464571	-0.500000
1401	0.636373	0.469891	-0.500000
1410	0.639419	0.475255	-0.500000
1419	0.641414	0.480627	-0.500000
1428	0.643054	0.488642	-0.500000
1440	0.644779	0.494056	-0.500000
1446	0.645961	0.499485	-0.500000
1455	0.649631	0.505820	-0.500000
1465	0.656483	0.513998	-0.500000
1473	0.661381	0.519548	-0.500000
1482	0.664505	0.525138	-0.500000
1491	0.667734	0.530756	-0.500000
1500	0.672378	0.539133	-0.500000
1527	0.682564	0.557194	-0.500000
1538	0.685203	0.562967	-0.500000
1550	0.686771	0.571560	-0.500000
1556	0.686625	0.577382	-0.500000
1564	0.687414	0.583197	-0.500000
1573	0.688793	0.589041	-0.500000
1581	0.689688	0.598628	-0.500000
1592	0.689198	0.604490	-0.500000
1599	0.687953	0.610329	-0.500000
1609	0.686545	0.616150	-0.500000
1617	0.682810	0.624720	-0.500000
1627	0.679803	0.630484	-0.500000
1636	0.677341	0.636278	-0.500000
1645	0.674843	0.642881	-0.500000
1657	0.670910	0.651247	-0.500000
1664	0.667410	0.656919	-0.500000
1672	0.663305	0.662520	-0.500000
1681	0.660420	0.668111	-0.500000
1689	0.656376	0.676295	-0.500000
1700	0.652642	0.681823	-0.500000
1707	0.649035	0.688164	-0.500000
1717	0.646977	0.693656	-0.500000
1725	0.645387	0.699036	-0.500000
1736	0.641876	0.707016	-0.500000
1744	0.639338	0.712388	-0.500000
1753	0.637674	0.717723	-0.500000
1761	0.636955	0.723021	-0.500000
1772	0.638520	0.731708	-0.500000
1779	0.638605	0.737029	-0.500000
1791	0.639503	0.742344	-0.500000
1798	0.640650	0.747669	-0.500000
1808	0.643109	0.755507	-0.500000
1815	0.644479	0.760828	-0.500000
1821	0.645651	0.764285	-0.500000
1834	0.649836	0.772380	-0.500000
1844	0.654351	0.780343	-0.500000
1853	0.656829	0.785764	-0.500000
1861	0.660380	0.791182	-0.500000
1869	0.665099	0.796633	-0.500000
1880	0.671769	0.804752	-0.500000
1888	0.676995	0.811211	-0.500000
1897	0.680973	0.816794	-0.500000
1906	0.685005	0.822429	-0.500000
1917	0.689271	0.828083	-0.500000
1923	0.693170	0.836443	-0.500000
1933	0.695001	0.842145	-0.500000
1943	0.697555	0.847911	-0.500000
1951	0.700180	0.853640	-0.500000
1960	0.703287	0.863070	-0.500000
1969	0.704877	0.868844	-0.500000
1979	0.706533	0.874677	-0.500000
1989	0.708049	0.880479	-0.500000
1996	0.709040	0.889081	-0.500000
2005	0.708300	0.894885	-0.500000
2015	0.706406	0.901674	-0.500000
2025	0.704645	0.907488	-0.500000
2032	0.701795	0.916021	-0.500000
2042	0.699392	0.921816	-0.500000
2050	0.695761	0.927552	-0.500000
2059	0.691349	0.933327	-0.500000
2069	0.685024	0.941730	-0.500000
2077	0.680702	0.947370	-0.500000
2086	0.676619	0.953858	-0.500000
2100	0.672731	0.959433	-0.500000
2106	0.668661	0.964964	-0.500000
2114	0.663693	0.973135	-0.500000
2122	0.660970	0.978597	-0.500000
2132	0.657643	0.984100	-0.500000
2140	0.653391	0.990369	-0.500000
2150	0.647758	0.998347	-0.500000
2158	0.644567	1.003701	-0.500000
2168	0.640823	1.009079	-0.500000
2177	0.637092	1.014428	-0.500000
2185	0.632297	1.022211	-0.500000
2197	0.628788	1.027464	-0.500000
2214	0.624646	1.038782	-0.500000
2221	0.623669	1.046432	-0.500000
2232	0.624906	1.051714	-0.500000
2239	0.625554	1.056949	-0.500000
2249	0.624405	1.062225	-0.500000
2258	0.620761	1.069878	-0.500000
2267	0.618370	1.075946	-0.500000
2276	0.617187	1.081109	-0.500000
2285	0.614524	1.086258	-0.500000
2293	0.611168	1.091406	-0.500000
2302	0.608260	1.098935	-0.500000
2317	0.606102	1.104046	-0.500000
2330	0.597222	1.114937	-0.500000
2339	0.593968	1.122320	-0.500000
2347	0.593031	1.127291	-0.500000
2357	0.592342	1.132282	-0.500000
2366	0.589158	1.137274	-0.500000
2376	0.584303	1.144528	-0.500000
2384	0.583258	1.149429	-0.500000
2394	0.582017	1.155111	-0.500000
2402	0.582726	1.160044	-0.500000
2410	0.586090	1.167218	-0.500000
2419	0.588785	1.172157	-0.500000
2430	0.589200	1.177133	-0.500000
2438	0.589096	1.182067	-0.500000
2449	0.591192	1.189400	-0.500000
2457	0.595972	1.195202	-0.500000
2465	0.597097	1.200175	-0.500000
2474	0.595828	1.205189	-0.500000
2484	0.594958	1.210198	-0.500000
2492	0.596090	1.217525	-0.500000
2502	0.595429	1.222557	-0.500000
2510	0.592899	1.227572	-0.500000
2519	0.590934	1.233340	-0.500000
2527	0.590808	1.240588	-0.500000
2540	0.588419	1.245537	-0.500000
2546	0.584074	1.250494	-0.500000
2555	0.580160	1.255380	-0.500000
2565	0.577584	1.262519	-0.500000
2574	0.575918	1.267362	-0.500000
2582	0.571616	1.272948	-0.500000
2591	0.568247	1.277701	-0.500000
2602	0.565529	1.284743	-0.500000
2610	0.564611	1.289543	-0.500000
2618	0.561912	1.294276	-0.500000
2630	0.558812	1.299061	-0.500000
2636	0.556240	1.306655	-0.500000
2650	0.555266	1.311417	-0.500000
2658	0.552418	1.316018	-0.500000
2664	0.548033	1.320696	-0.500000
2672	0.544942	1.325312	-0.500000
2682	0.543180	1.332076	-0.500000
2690	0.541007	1.336648	-0.500000
2699	0.537992	1.341214	-0.500000
2709	0.536131	1.346504	-0.500000
2718	0.536006	1.353155	-0.500000
2726	0.535022	1.357684	-0.500000
2736	0.533175	1.362257	-0.500000
2744	0.533230	1.366767	-0.500000
2757	0.536722	1.373390	-0.500000
2763	0.539700	1.377984	-0.500000
2772	0.542438	1.383257	-0.500000
2781	0.544455	1.387893	-0.500000
2789	0.549206	1.394665	-0.500000
2799	0.551523	1.399385	-0.500000
2807	0.552681	1.404059	-0.500000
2816	0.553261	1.408727	-0.500000
2826	0.554285	1.414206	-0.496143
2835	0.557417	1.421082	-0.496143
2845	0.558689	1.425867	-0.496143
2853	0.559987	1.430611	-0.496143
2872	0.565173	1.442407	-0.448200
2879	0.568309	1.447197	-0.448200
2889	0.571380	1.452050	-0.448200
2898	0.575356	1.457620	-0.448200
2908	0.579726	1.464853	-0.448200
2916	0.582170	1.469745	-0.448200
2925	0.583779	1.474741	-0.421324
2934	0.587213	1.479688	-0.421324
2943	0.593312	1.487009	-0.421324
2952	0.597049	1.492079	-0.421324
2961	0.601322	1.497916	-0.421324
2970	0.604519	1.503055	-0.393205
2981	0.609109	1.510583	-0.393205
