TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.020872	1.779175	-0.000000
8	0.008057	1.778633	0.000000
18	-0.004225	1.778073	0.000000
29	-0.021739	1.777174	0.000000
36	-0.032678	1.776449	-0.000000
44	-0.039712	1.775836	-0.000000
56	-0.043753	1.775320	0.000000
62	-0.048639	1.774594	0.000000
73	-0.050894	1.774227	0.000000
81	-0.052030	1.773900	0.000000
90	-0.051307	1.773707	-0.000000
98	-0.048482	1.773493	-0.000000
108	-0.045967	1.773544	0.000000
117	-0.041692	1.773669	0.000000
126	-0.036358	1.773915	0.000000
140	-0.020026	1.774778	-0.000000
146	-0.015031	1.775121	-0.000000
153	-0.003239	1.775843	-0.000000
163	0.012255	1.776948	0.000000
170	0.029050	1.778051	0.000000
182	0.055810	1.780161	0.000000
190	0.074350	1.781790	-0.000000
198	0.091909	1.783558	-0.000000
207	0.107256	1.785567	-0.000000
216	0.126791	1.788721	0.000000
225	0.141382	1.791416	0.000000
234	0.153011	1.793942	-0.000000
239	0.160000	1.795646	-0.000000
262	0.186201	1.803459	0.000000
271	0.192760	1.806354	0.000000
281	0.200211	1.810843	-0.000000
289	0.204152	1.814337	-0.000000
298	0.205491	1.817456	-0.000000
307	0.206169	1.820501	0.000000
316	0.202247	1.825108	0.000000
326	0.197414	1.828120	0.000000
334	0.192321	1.831173	-0.000000
343	0.186491	1.834122	-0.000000
357	0.178480	1.837446	0.000000
370	0.158886	1.844337	0.000000
380	0.148723	1.846999	0.000000
388	0.137342	1.849516	-0.000000
398	0.119924	1.853171	-0.000000
406	0.108483	1.855826	0.000000
415	0.098526	1.858035	0.000000
424	0.089238	1.860212	0.000000
434	0.079069	1.863263	-0.000000
442	0.072826	1.865307	-0.000000
451	0.065906	1.867241	-0.000000
460	0.059027	1.869185	0.000000
471	0.052261	1.871022	0.000000
478	0.043473	1.873968	0.000000
488	0.039364	1.875721	-0.000000
496	0.035603	1.877390	-0.000000
507	0.033186	1.879086	0.000000
515	0.029404	1.881552	0.000000
523	0.027586	1.883110	0.000000
529	0.027114	1.883536	-0.000000
543	0.023686	1.886383	-0.000000
553	0.022246	1.888519	-0.000000
560	0.020396	1.889962	0.000000
569	0.017435	1.891380	0.000000
581	0.012501	1.893285	-0.000000
588	0.009452	1.894468	-0.000000
