TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.066506	-0.941803	0.000595
7	0.066381	-0.941388	-0.002716
15	0.066554	-0.941024	-0.002716
24	0.067882	-0.940387	-0.002716
36	0.068503	-0.939985	-0.002716
43	0.068621	-0.939552	-0.002716
53	0.068912	-0.939154	-0.005812
62	0.069715	-0.938754	-0.005812
97	0.074991	-0.936436	-0.005812
115	0.076612	-0.935087	-0.008959
124	0.076733	-0.934539	-0.008959
133	0.076631	-0.933986	-0.008959
144	0.079489	-0.932974	-0.008959
151	0.082270	-0.932379	-0.008959
162	0.084251	-0.931747	-0.400567
187	0.093449	-0.929293	-0.400567
196	0.096652	-0.928540	-0.400567
205	0.100325	-0.927317	-0.401795
214	0.102316	-0.926456	-0.401795
224	0.103288	-0.925588	-0.401795
232	0.104248	-0.924832	-0.401795
241	0.110035	-0.923536	-0.401795
252	0.126700	-0.922459	-0.403041
261	0.151341	-0.921387	-0.403041
272	0.186335	-0.920104	-0.403041
279	0.230853	-0.918494	-0.403041
288	0.293405	-0.915428	-0.402919
350	0.387880	-0.894733	-0.404248
360	0.398679	-0.890194	-0.405447
368	0.403226	-0.887141	-0.405447
385	0.411953	-0.880892	-0.405447
394	0.421488	-0.875515	-0.405447
404	0.425920	-0.872247	-0.406943
413	0.430363	-0.868940	-0.406943
422	0.435099	-0.865591	-0.406943
431	0.442332	-0.860473	-0.406943
440	0.443924	-0.857045	-0.406943
448	0.444586	-0.853574	-0.406943
458	0.445070	-0.849477	-0.408273
467	0.446372	-0.844126	-0.408273
476	0.447026	-0.840580	-0.408273
494	0.447911	-0.833430	-0.411897
503	0.447623	-0.829764	-0.411897
512	0.448054	-0.823606	-0.415399
521	0.446177	-0.819961	-0.415399
530	0.444404	-0.816288	-0.415399
539	0.444111	-0.812626	-0.415863
584	0.452950	-0.789494	-0.418739
592	0.456204	-0.785699	-0.418739
602	0.459447	-0.781843	-0.418739
611	0.463659	-0.777940	-0.421913
621	0.470778	-0.771933	-0.421913
629	0.472572	-0.767876	-0.421913
638	0.473899	-0.763094	-0.421913
647	0.474548	-0.759018	-0.421913
655	0.475978	-0.754931	-0.424888
664	0.477846	-0.748786	-0.424888
674	0.478545	-0.744663	-0.424888
683	0.480845	-0.740541	-0.424888
692	0.484117	-0.736401	-0.424888
700	0.488290	-0.729444	-0.424888
712	0.490059	-0.725305	-0.428331
719	0.491361	-0.721157	-0.428331
728	0.492100	-0.717009	-0.428331
736	0.493023	-0.710709	-0.428331
746	0.493125	-0.706543	-0.428331
755	0.494149	-0.702356	-0.429814
763	0.497416	-0.697417	-0.429814
772	0.503795	-0.691029	-0.429814
784	0.508178	-0.686712	-0.429979
863	0.513119	-0.642478	-0.430798
999	0.511298	-0.572774	-0.431089
1143	0.544630	-0.496789	-0.430210
1558	0.582212	-0.248150	-0.424707
1566	0.580043	-0.243374	-0.424598
1574	0.578446	-0.236309	-0.424598
1590	0.569718	-0.226088	-0.424598
1604	0.565096	-0.221424	-0.422045
1611	0.559052	-0.214536	-0.422045
1621	0.555341	-0.209978	-0.422045
1630	0.550778	-0.205413	-0.422045
1638	0.546318	-0.200907	-0.422045
1649	0.541472	-0.193569	-0.422045
1657	0.540864	-0.189149	-0.419255
1666	0.540400	-0.184705	-0.419255
1675	0.538782	-0.180268	-0.419255
1683	0.539958	-0.173736	-0.419255
1692	0.541326	-0.169329	-0.419255
1702	0.541796	-0.164907	-0.414551
1710	0.542151	-0.159761	-0.409944
1720	0.543917	-0.155284	-0.409944
1774	0.544041	-0.123122	-0.406363
1783	0.541925	-0.118615	-0.406363
1792	0.540402	-0.114141	-0.406363
1800	0.538259	-0.107555	-0.406363
1812	0.535561	-0.103097	-0.402603
1819	0.532290	-0.098688	-0.402603
1828	0.529668	-0.094271	-0.402603
1837	0.526221	-0.087168	-0.402603
1846	0.523459	-0.082845	-0.402603
1855	0.520842	-0.078581	-0.398767
1864	0.519809	-0.074320	-0.398767
1873	0.518637	-0.067888	-0.398767
1882	0.516282	-0.063508	-0.398767
1891	0.513502	-0.059149	-0.398767
1900	0.512114	-0.054115	-0.398767
1909	0.512363	-0.049832	-0.395265
1923	0.511025	-0.043540	-0.390023
1929	0.509227	-0.039282	-0.390023
1936	0.507919	-0.035029	-0.390023
1945	0.505432	-0.030782	-0.390023
1953	0.502115	-0.023909	-0.390023
1965	0.500863	-0.019786	-0.384775
1972	0.500133	-0.015639	-0.384775
1981	0.500405	-0.011489	-0.384775
1989	0.499565	-0.005324	-0.384775
2001	0.497943	-0.001110	-0.384775
2008	0.496420	0.003102	-0.379480
2031	0.497189	0.014105	-0.372722
2044	0.495096	0.022472	-0.372722
2053	0.494408	0.026636	-0.372722
2064	0.494027	0.032763	-0.368005
2072	0.496363	0.036919	-0.368005
2081	0.497338	0.041762	-0.368005
2089	0.498138	0.045953	-0.368005
2099	0.498812	0.050121	-0.368005
2107	0.499582	0.056284	-0.363060
2126	0.498982	0.064680	-0.363060
2143	0.496900	0.075735	-0.363060
2155	0.495380	0.079960	-0.357900
2161	0.491746	0.084142	-0.357900
2171	0.482672	0.088289	-0.357900
2179	0.472872	0.094234	-0.357900
2189	0.471184	0.098259	-0.357900
2198	0.471099	0.102257	-0.357900
2207	0.467179	0.106876	-0.352631
2215	0.466535	0.112686	-0.352631
2233	0.469268	0.120684	-0.352631
2243	0.465557	0.124678	-0.352631
2252	0.465098	0.130498	-0.349795
2261	0.469293	0.134496	-0.347008
2269	0.470277	0.139118	-0.347008
2278	0.468089	0.143140	-0.347008
2289	0.466133	0.147147	-0.347008
2298	0.468787	0.153015	-0.347008
2306	0.470989	0.157050	-0.341156
2315	0.468816	0.161069	-0.341156
2324	0.467113	0.165086	-0.341156
2332	0.469645	0.171565	-0.341156
2344	0.471005	0.175590	-0.341156
2351	0.470034	0.179608	-0.341156
2362	0.469064	0.183622	-0.336427
2369	0.467998	0.189483	-0.336427
2378	0.468258	0.193485	-0.336427
2388	0.466875	0.197503	-0.336427
2396	0.464919	0.202099	-0.336427
2406	0.464782	0.207943	-0.331281
2414	0.466983	0.211957	-0.331281
2424	0.469293	0.216009	-0.331281
2432	0.469775	0.220037	-0.331281
2441	0.470864	0.225963	-0.331281
2449	0.472242	0.230007	-0.331281
2459	0.472949	0.234705	-0.325745
2472	0.472168	0.238765	-0.317603
2504	0.469069	0.256914	-0.307617
2515	0.467265	0.260981	-0.307617
2522	0.463669	0.267468	-0.307617
2531	0.460889	0.271492	-0.307617
2541	0.457830	0.275471	-0.307617
2549	0.454924	0.279424	-0.307617
2558	0.451954	0.285165	-0.298272
2568	0.450053	0.289093	-0.298272
2581	0.448461	0.292992	-0.286473
2587	0.446987	0.297537	-0.286473
2594	0.445537	0.303167	-0.286473
2612	0.444365	0.310955	-0.274698
2622	0.443052	0.314823	-0.274698
2630	0.442350	0.318669	-0.274698
2640	0.439512	0.324296	-0.274698
2648	0.436475	0.328714	-0.274698
2654	0.433459	0.332533	-0.263058
2666	0.431911	0.336305	-0.263058
2675	0.430164	0.341771	-0.263058
2689	0.430154	0.345576	-0.250904
2695	0.431033	0.349350	-0.250904
2703	0.431757	0.353157	-0.250904
2711	0.430962	0.359182	-0.239353
2721	0.428906	0.362978	-0.239353
2730	0.425793	0.366734	-0.239353
2757	0.414485	0.379540	-0.227904
2766	0.410667	0.383151	-0.227904
2775	0.406401	0.387312	-0.227904
2783	0.401702	0.392480	-0.227904
2792	0.397398	0.396018	-0.227904
2802	0.394543	0.399542	-0.214919
2811	0.392332	0.403057	-0.207983
2820	0.389706	0.406519	-0.207983
2829	0.385516	0.411519	-0.207983
2838	0.382946	0.415460	-0.207983
2847	0.380773	0.418894	-0.207983
2855	0.379234	0.422274	-0.200927
2864	0.373860	0.427115	-0.200927
2876	0.370813	0.430484	-0.200927
2883	0.368146	0.433796	-0.200927
2892	0.365304	0.437125	-0.200927
2900	0.363041	0.442312	-0.200927
2912	0.362888	0.445605	-0.188183
2919	0.363770	0.448877	-0.188183
2928	0.364905	0.452194	-0.188183
2938	0.367794	0.456936	-0.188183
2947	0.370439	0.460297	-0.188183
2955	0.373314	0.464132	-0.183167
2964	0.375825	0.467547	-0.181084
2991	0.385494	0.479245	-0.183167
3000	0.388681	0.482721	-0.183167
3011	0.392020	0.486215	-0.178066
3023	0.395764	0.491776	-0.171394
3029	0.398798	0.495285	-0.171394
3037	0.402588	0.498790	-0.171394
3047	0.405897	0.502378	-0.171394
3055	0.408844	0.507620	-0.164558
3064	0.409112	0.511218	-0.164558
3073	0.409326	0.514858	-0.164558
3081	0.408886	0.518455	-0.164558
3090	0.408053	0.524177	-0.164558
3100	0.406164	0.527783	-0.164558
3110	0.405271	0.531388	-0.157625
3118	0.405901	0.534935	-0.157625
3131	0.405213	0.540104	-0.157625
3137	0.403771	0.543649	-0.157625
3144	0.402172	0.547187	-0.157625
3156	0.400338	0.551269	-0.152410
3163	0.396665	0.556377	-0.152410
3171	0.393327	0.559853	-0.152410
3181	0.389929	0.563340	-0.151388
3261	0.343845	0.596083	-0.132300
3271	0.338321	0.599159	-0.131742
3279	0.330298	0.603910	-0.131742
3289	0.324375	0.606890	-0.131742
3298	0.318045	0.609835	-0.131742
3306	0.311483	0.612679	-0.124330
3315	0.302569	0.616654	-0.124330
3327	0.296797	0.619429	-0.124330
3334	0.291430	0.622107	-0.124330
3343	0.285836	0.625159	-0.124330
3352	0.279622	0.628867	-0.113426
3362	0.276265	0.631473	-0.102636
3369	0.271493	0.634012	-0.102636
3379	0.266646	0.636576	-0.102636
