TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	-0.148133	1.045275	0.134593
9	-0.147784	1.043779	0.134593
18	-0.147295	1.042318	0.134123
27	-0.145972	1.040825	0.134123
36	-0.144086	1.038650	0.134123
50	-0.143352	1.037229	0.132493
55	-0.143331	1.035808	0.132493
63	-0.145035	1.034128	0.132493
72	-0.147673	1.032684	0.130877
82	-0.151372	1.030501	0.130877
90	-0.152587	1.029033	0.130877
99	-0.153073	1.027535	0.130877
110	-0.154757	1.026048	0.130877
118	-0.156539	1.023549	0.129252
126	-0.156896	1.022071	0.129252
144	-0.153808	1.019138	0.129252
158	-0.152108	1.016931	0.129252
164	-0.152404	1.015479	0.129252
171	-0.151569	1.014001	0.127701
181	-0.151167	1.012295	0.127701
190	-0.152424	1.010107	0.127701
198	-0.153400	1.008637	0.127701
207	-0.155261	1.007156	0.127701
217	-0.157210	1.005658	0.126738
225	-0.158307	1.003389	0.126738
235	-0.158725	1.001884	0.126738
243	-0.159309	1.000122	0.126738
253	-0.159024	0.998642	0.126738
262	-0.158635	0.997136	0.126738
270	-0.158650	0.994855	0.125236
280	-0.158836	0.993314	0.125236
288	-0.158967	0.991751	0.125236
298	-0.158894	0.990240	0.125236
307	-0.159075	0.987675	0.125236
316	-0.159758	0.986143	0.125236
324	-0.160514	0.984613	0.125082
334	-0.162166	0.983053	0.125082
343	-0.165677	0.980677	0.125082
352	-0.168052	0.979081	0.125082
361	-0.171818	0.977229	0.125082
370	-0.174608	0.975648	0.124949
381	-0.179454	0.973210	0.124744
388	-0.182642	0.971580	0.124744
397	-0.186060	0.969950	0.124744
406	-0.188403	0.968318	0.124744
416	-0.191107	0.965764	0.124744
424	-0.192708	0.964077	0.125336
432	-0.195123	0.962065	0.125336
441	-0.197840	0.960314	0.125336
453	-0.200573	0.958514	0.125336
460	-0.203119	0.955839	0.125336
470	-0.203641	0.954050	0.125974
479	-0.204162	0.952288	0.125974
491	-0.204924	0.950599	0.127079
497	-0.207697	0.947741	0.127079
505	-0.208816	0.946021	0.127079
514	-0.210048	0.944329	0.127079
523	-0.211148	0.942622	0.128109
533	-0.211887	0.940105	0.128109
541	-0.212605	0.938451	0.128109
553	-0.212595	0.936786	0.128109
559	-0.212750	0.934829	0.128109
568	-0.212459	0.932343	0.129145
578	-0.211562	0.930683	0.129145
586	-0.209963	0.929040	0.129145
600	-0.208964	0.927421	0.130019
618	-0.207286	0.922893	0.130901
624	-0.205146	0.921842	0.436413
632	-0.199920	0.919549	0.436413
641	-0.196697	0.918042	0.436413
659	-0.191825	0.915306	0.445850
667	-0.191678	0.913229	0.436834
677	-0.197901	0.911791	0.436834
686	-0.213633	0.909948	0.436834
695	-0.232530	0.908250	0.436834
708	-0.271995	0.905361	0.437044
714	-0.301401	0.903133	0.437044
722	-0.328014	0.900686	0.437281
732	-0.350152	0.898060	0.437281
742	-0.377271	0.893848	0.437281
749	-0.393688	0.890370	0.437281
759	-0.405242	0.887242	0.437501
777	-0.428074	0.879134	0.437501
787	-0.438190	0.875748	0.437501
796	-0.447694	0.872327	0.437501
804	-0.455891	0.868813	0.437501
822	-0.478281	0.859055	0.437873
831	-0.487287	0.855216	0.437873
839	-0.494578	0.851297	0.437873
849	-0.501832	0.847377	0.437873
857	-0.511731	0.841318	0.437873
885	-0.526704	0.828067	0.437906
894	-0.530452	0.821600	0.437915
902	-0.532968	0.817254	0.437915
914	-0.534116	0.812878	0.437915
922	-0.535928	0.808462	0.437904
930	-0.541606	0.800961	0.437718
939	-0.544609	0.796433	0.437718
948	-0.547287	0.791820	0.437718
957	-0.550171	0.787188	0.437718
965	-0.554065	0.780165	0.437718
974	-0.556815	0.775432	0.437513
984	-0.558722	0.770679	0.437513
993	-0.558732	0.765881	0.437513
1003	-0.557724	0.760274	0.437513
1011	-0.557688	0.753095	0.437513
1020	-0.559251	0.748261	0.437253
1028	-0.560648	0.743433	0.437253
1040	-0.562612	0.738582	0.437253
1046	-0.569494	0.731260	0.437253
1056	-0.576116	0.725460	0.437253
1065	-0.581423	0.720492	0.437253
1074	-0.586763	0.715428	0.437127
1083	-0.593703	0.707818	0.437127
1093	-0.598049	0.702679	0.437127
1101	-0.601554	0.697512	0.437127
1150	-0.618981	0.667817	0.436892
1156	-0.622308	0.659876	0.436892
1165	-0.624634	0.654537	0.436892
1172	-0.626459	0.649190	0.436527
1182	-0.627713	0.642994	0.436527
1191	-0.628275	0.637673	0.436527
1201	-0.628476	0.629744	0.436527
1209	-0.628151	0.624484	0.436527
1218	-0.626133	0.619220	0.435875
1227	-0.624019	0.613956	0.435875
1236	-0.622028	0.606155	0.435875
1245	-0.620250	0.600057	0.435875
1259	-0.618047	0.594964	0.435875
1265	-0.615518	0.589845	0.435875
1273	-0.609542	0.582252	0.435066
1281	-0.604149	0.577243	0.435066
1293	-0.597598	0.572292	0.435066
1299	-0.591160	0.567445	0.435066
1309	-0.579485	0.559535	0.435066
1318	-0.570353	0.554913	0.434037
1326	-0.560627	0.550374	0.434037
1344	-0.532369	0.539426	0.434037
1353	-0.520712	0.535226	0.434037
1363	-0.509309	0.531154	0.433215
1381	-0.488506	0.522675	0.431210
1389	-0.479128	0.517026	0.431210
1398	-0.473458	0.513308	0.431210
1408	-0.469451	0.509647	0.431210
1417	-0.467090	0.506033	0.431210
1426	-0.467080	0.500710	0.429780
1434	-0.468802	0.497131	0.429780
1444	-0.472672	0.493025	0.429780
1453	-0.476473	0.489465	0.429780
1461	-0.482687	0.484099	0.429780
1472	-0.488132	0.480483	0.428274
1481	-0.493799	0.476806	0.426657
1489	-0.499363	0.473057	0.426657
1497	-0.506979	0.466723	0.426657
1507	-0.510826	0.462876	0.426657
1516	-0.514516	0.458982	0.426657
1524	-0.519288	0.455040	0.425073
1534	-0.528367	0.449052	0.425073
1543	-0.536501	0.444945	0.425073
1552	-0.546780	0.440800	0.425073
1560	-0.560021	0.435833	0.425073
1570	-0.570407	0.431513	0.423486
1615	-0.622790	0.403544	0.423486
1624	-0.627829	0.397768	0.421925
1632	-0.629645	0.392811	0.421925
1644	-0.631095	0.387768	0.421925
1652	-0.635060	0.380190	0.421925
1660	-0.638854	0.375047	0.421925
1669	-0.642150	0.369880	0.420339
1678	-0.644185	0.364666	0.420339
1687	-0.646530	0.355935	0.420339
1701	-0.647892	0.350629	0.420339
1706	-0.647716	0.345308	0.420339
1714	-0.646713	0.340040	0.420339
1723	-0.645504	0.334787	0.418808
1733	-0.639965	0.326075	0.418808
1741	-0.637124	0.320873	0.418808
1751	-0.633969	0.315654	0.418808
1760	-0.629412	0.310479	0.418808
1768	-0.617631	0.302773	0.417519
1778	-0.609270	0.297705	0.417519
1786	-0.601652	0.292747	0.417519
1795	-0.593507	0.287805	0.417519
1813	-0.573943	0.274922	0.415387
1822	-0.567774	0.270169	0.413308
1831	-0.560908	0.265534	0.413308
1840	-0.548371	0.258699	0.413308
1849	-0.539702	0.254241	0.413308
1858	-0.530998	0.249853	0.413308
1867	-0.522365	0.245505	0.413308
