TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.095628	0.204394	0.104067
9	-0.096824	0.203555	0.104067
18	-0.099412	0.202751	0.104067
31	-0.102274	0.201429	0.104067
37	-0.103844	0.200619	0.104067
45	-0.105452	0.199737	0.105343
54	-0.106974	0.198889	0.105343
62	-0.110353	0.197355	0.105343
73	-0.112570	0.196498	0.105343
81	-0.114609	0.195583	0.105343
90	-0.115743	0.194642	0.105343
99	-0.117236	0.193736	0.106550
107	-0.119525	0.192285	0.106550
117	-0.120695	0.191382	0.106550
126	-0.121664	0.190302	0.106550
138	-0.122560	0.189329	0.106550
145	-0.123803	0.187843	0.107829
153	-0.123597	0.186858	0.107829
162	-0.122533	0.185929	0.107829
171	-0.122173	0.184985	0.107829
181	-0.121590	0.183528	0.107829
190	-0.120861	0.182464	0.107829
207	-0.120233	0.180253	-0.313823
216	-0.119703	0.179297	-0.313823
227	-0.119053	0.178399	-0.313823
234	-0.118405	0.176960	-0.313823
248	-0.118038	0.176086	-0.312906
254	-0.117566	0.175171	-0.312906
261	-0.116086	0.174335	-0.312906
270	-0.112177	0.173050	-0.312906
279	-0.106056	0.172116	-0.312906
288	-0.092469	0.171305	-0.312906
298	-0.069446	0.170709	-0.312024
316	0.006975	0.170058	-0.312024
324	0.036990	0.170195	-0.312024
333	0.055297	0.170512	-0.312024
344	0.063894	0.170997	-0.311154
352	0.074175	0.171910	-0.311154
370	0.085817	0.173165	-0.311170
378	0.091881	0.173864	-0.311170
384	0.095744	0.174263	-0.311170
398	0.111674	0.175865	-0.311222
405	0.117850	0.176752	-0.311222
414	0.120586	0.177724	-0.311222
424	0.124986	0.179247	-0.311222
432	0.132521	0.180464	-0.311222
441	0.137285	0.181571	-0.311222
451	0.142675	0.182707	-0.311258
564	0.181838	0.205351	-0.312580
580	0.183316	0.206984	-0.313136
586	0.186808	0.208681	-0.313136
595	0.190674	0.210360	-0.313777
604	0.193853	0.212123	-0.313777
614	0.201414	0.215073	-0.313777
622	0.207115	0.216977	-0.313777
631	0.212314	0.218876	-0.313777
640	0.216559	0.220789	-0.313777
649	0.222500	0.223677	-0.314340
658	0.227678	0.225706	-0.314340
668	0.233491	0.227788	-0.314340
676	0.237837	0.229857	-0.314340
690	0.242839	0.233063	-0.314340
696	0.246518	0.235581	-0.314840
703	0.249011	0.237719	-0.314840
712	0.252468	0.239947	-0.314840
722	0.257115	0.243304	-0.314840
731	0.259788	0.245531	-0.314840
739	0.263262	0.247844	-0.314840
748	0.265832	0.250113	-0.314370
756	0.270204	0.253862	-0.314370
768	0.273129	0.256194	-0.314370
775	0.276882	0.258482	-0.314370
784	0.280950	0.260867	-0.314370
797	0.283392	0.263239	-0.313811
803	0.287905	0.266814	-0.313811
811	0.292009	0.269197	-0.313811
820	0.296570	0.272008	-0.313811
831	0.299685	0.274496	-0.313811
838	0.304060	0.278163	-0.313811
847	0.306734	0.280691	-0.313135
857	0.309630	0.283249	-0.313135
865	0.312253	0.285780	-0.313135
874	0.315526	0.289954	-0.313135
880	0.317275	0.292152	-0.313135
893	0.319901	0.295116	-0.313135
902	0.321966	0.297746	-0.311955
911	0.324095	0.301631	-0.311915
920	0.325146	0.304304	-0.311915
928	0.326915	0.306944	-0.311915
937	0.328868	0.309596	-0.311915
947	0.330981	0.312775	-0.311865
955	0.334086	0.316750	-0.311865
965	0.335776	0.319517	-0.311865
974	0.337773	0.322294	-0.311865
982	0.340063	0.325078	-0.311865
992	0.343121	0.329190	-0.311865
1001	0.346585	0.332514	-0.311573
1009	0.350100	0.335355	-0.311573
1021	0.353672	0.338312	-0.311017
1028	0.356863	0.342713	-0.311017
