TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.065399	-2.916327	0.054226
9	0.065258	-2.915701	0.055627
19	0.066117	-2.915047	0.055627
28	0.065987	-2.914366	0.055627
36	0.065661	-2.913281	0.055627
42	0.065540	-2.912886	0.055627
64	0.065538	-2.911193	0.057192
72	0.065409	-2.910161	0.057192
78	0.065817	-2.909538	0.057192
87	0.066804	-2.908751	0.057192
103	0.066926	-2.908080	0.057192
111	0.067316	-2.907342	0.059244
119	0.069138	-2.906372	0.059244
127	0.068971	-2.905739	0.059244
136	0.068477	-2.905128	0.059244
145	0.068624	-2.904528	0.059244
153	0.069936	-2.903599	0.059244
163	0.069356	-2.902877	0.061372
171	0.069130	-2.902272	0.061372
181	0.069426	-2.901709	0.061372
189	0.069610	-2.900798	0.061372
199	0.070474	-2.900192	0.061372
211	0.070662	-2.899595	0.063903
217	0.070920	-2.899046	0.063903
225	0.071646	-2.898171	0.063903
235	0.071514	-2.897672	0.063903
244	0.072088	-2.897199	0.063903
253	0.073146	-2.896731	0.063903
262	0.074117	-2.896029	0.066539
271	0.074412	-2.895561	0.066539
279	0.074299	-2.895116	0.066539
289	0.075402	-2.894632	0.066539
334	0.066180	-2.892530	0.071197
343	0.061437	-2.892154	0.071197
352	0.057150	-2.891921	0.071197
361	0.053514	-2.891753	0.073118
371	0.049464	-2.891600	0.073118
379	0.044075	-2.891395	0.073118
397	0.037318	-2.891280	0.073118
406	0.033789	-2.891251	0.073118
415	0.026625	-2.891204	0.074931
434	0.018622	-2.891101	0.074931
442	0.014943	-2.891066	0.074931
451	0.009714	-2.891103	0.074931
460	0.006210	-2.891139	0.076341
469	0.003363	-2.891173	0.076341
478	0.000491	-2.891228	0.076341
487	-0.001755	-2.891290	0.750000
495	-0.004343	-2.891383	0.750000
505	-0.006782	-2.891440	0.750000
514	-0.008991	-2.891497	0.750000
523	-0.011345	-2.891391	0.750000
532	-0.018882	-2.891308	0.750000
545	-0.034563	-2.891304	0.750000
552	-0.056483	-2.891404	0.750000
559	-0.086354	-2.891797	0.750000
568	-0.151363	-2.892949	0.750000
577	-0.201454	-2.894131	0.750000
622	-0.432776	-2.907952	0.750000
634	-0.464220	-2.911409	0.750000
641	-0.493882	-2.915110	0.750000
660	-0.558628	-2.926022	0.750000
668	-0.577358	-2.930480	0.750000
677	-0.593567	-2.935034	0.750000
685	-0.614064	-2.942091	0.750000
696	-0.625304	-2.946972	0.750000
704	-0.635204	-2.951924	0.750000
714	-0.644436	-2.956994	0.750000
723	-0.658188	-2.964803	0.750000
730	-0.669719	-2.971006	0.750000
739	-0.679715	-2.976427	0.750000
749	-0.688550	-2.981989	0.750000
762	-0.702373	-2.990459	0.750000
769	-0.711816	-2.996255	0.750000
776	-0.720002	-3.002124	0.750000
785	-0.727558	-3.008093	0.750000
793	-0.735952	-3.015151	0.750000
804	-0.744878	-3.024367	0.750000
812	-0.749410	-3.030521	0.750000
821	-0.753458	-3.036731	0.750000
831	-0.757325	-3.042995	0.750000
838	-0.762852	-3.052484	0.750000
847	-0.766969	-3.059982	0.750000
857	-0.769959	-3.066395	0.750000
870	-0.774176	-3.072873	0.750000
884	-0.790813	-3.089300	0.750000
893	-0.798448	-3.096030	0.750000
901	-0.807608	-3.102797	0.750000
912	-0.824408	-3.114251	0.750000
920	-0.832757	-3.121259	0.750000
930	-0.837762	-3.128283	0.750000
938	-0.840605	-3.135360	0.750000
947	-0.842775	-3.146062	0.750000
955	-0.840669	-3.153168	0.750000
965	-0.837170	-3.160256	0.750000
974	-0.829963	-3.168524	0.750000
986	-0.821926	-3.175465	0.750000
993	-0.809003	-3.185819	0.750000
1001	-0.800499	-3.192617	0.750000
1010	-0.792038	-3.199339	0.750000
1019	-0.784780	-3.206015	0.750000
1028	-0.778387	-3.215900	0.750000
1038	-0.775046	-3.223547	0.750000
1046	-0.772183	-3.230055	0.750000
1055	-0.770840	-3.236556	0.750000
1064	-0.772155	-3.246276	0.750000
1075	-0.773078	-3.252745	0.750000
1082	-0.775285	-3.259180	0.750000
1094	-0.779855	-3.265681	0.750000
1100	-0.789883	-3.276549	0.750000
1109	-0.796308	-3.283070	0.750000
1119	-0.802080	-3.289610	0.750000
1127	-0.807178	-3.296224	0.750000
1136	-0.812685	-3.306256	0.750000
1146	-0.815502	-3.312842	0.750000
1155	-0.816940	-3.319507	0.750000
1163	-0.818680	-3.327260	0.750000
1172	-0.820209	-3.333852	0.750000
1182	-0.822261	-3.343809	0.750000
1190	-0.821806	-3.350419	0.750000
1209	-0.817669	-3.363547	0.750000
1218	-0.813464	-3.373319	0.750000
1227	-0.810102	-3.380800	0.750000
1235	-0.807218	-3.387198	0.750000
1244	-0.804748	-3.393585	0.750000
1254	-0.804454	-3.403172	0.750000
1262	-0.804655	-3.409503	0.750000
1281	-0.802499	-3.422032	0.750000
1289	-0.801937	-3.432624	0.750000
1298	-0.800747	-3.438848	0.750000
1304	-0.799341	-3.442263	0.750000
1326	-0.792457	-3.457239	0.750000
1335	-0.789108	-3.466425	0.750000
1343	-0.784985	-3.472473	0.750000
1352	-0.779715	-3.479525	0.750000
1362	-0.777304	-3.485426	0.750000
1371	-0.775137	-3.494426	0.750000
1380	-0.775577	-3.500348	0.750000
1389	-0.777393	-3.506242	0.750000
1398	-0.779741	-3.512230	0.750000
1406	-0.785352	-3.521344	0.750000
1425	-0.795846	-3.534524	0.750000
1434	-0.800846	-3.540639	0.750000
1442	-0.811445	-3.549974	0.750000
1452	-0.818893	-3.556128	0.750000
1461	-0.825796	-3.562397	0.750000
1469	-0.831665	-3.568667	0.750000
1480	-0.841407	-3.579426	0.750000
1489	-0.846960	-3.585823	0.750000
1498	-0.851252	-3.592372	0.750000
1506	-0.855343	-3.598809	0.750000
1515	-0.858471	-3.605427	0.750000
1523	-0.864307	-3.615544	0.750000
1535	-0.868059	-3.623382	0.750000
1543	-0.871014	-3.630049	0.750000
1551	-0.873114	-3.636823	0.750000
1561	-0.875785	-3.647008	0.750000
1570	-0.876514	-3.653730	0.750000
1578	-0.876550	-3.660463	0.750000
1587	-0.876579	-3.667232	0.750000
1597	-0.876186	-3.678612	0.750000
1605	-0.876475	-3.685317	0.750000
1615	-0.875834	-3.692075	0.750000
1624	-0.873137	-3.698707	0.750000
1632	-0.865495	-3.708905	0.750000
1645	-0.860573	-3.715591	0.750000
1652	-0.855951	-3.722164	0.750000
1659	-0.851333	-3.728733	0.750000
1669	-0.846054	-3.736344	0.750000
1678	-0.841797	-3.746088	0.750000
1686	-0.839557	-3.752557	0.750000
1695	-0.835888	-3.759031	0.750000
1707	-0.832751	-3.765287	0.750000
1714	-0.828853	-3.774892	0.750000
1723	-0.828084	-3.782171	0.750000
1732	-0.825954	-3.788287	0.750000
1740	-0.822829	-3.794471	0.750000
1755	-0.816337	-3.803837	0.750000
1768	-0.807105	-3.815927	0.750000
1777	-0.802342	-3.821950	0.750000
1785	-0.796922	-3.832081	0.750000
1795	-0.792562	-3.838065	0.750000
1803	-0.787304	-3.843998	0.750000
1813	-0.780368	-3.849866	0.750000
1823	-0.765860	-3.858502	0.750000
1831	-0.755238	-3.864065	0.750000
1840	-0.741715	-3.869530	0.750000
1849	-0.722181	-3.875716	0.750000
1867	-0.687137	-3.888656	0.750000
1876	-0.671676	-3.893615	0.750000
1884	-0.656266	-3.898481	0.750000
1894	-0.644211	-3.903205	0.750000
1903	-0.624107	-3.910349	0.750000
1912	-0.605771	-3.915621	0.750000
1921	-0.592341	-3.919977	0.750000
1929	-0.581654	-3.924321	0.750000
1938	-0.570517	-3.930819	0.750000
1948	-0.561741	-3.934898	0.750000
1957	-0.552454	-3.938982	0.750000
1971	-0.544203	-3.942905	0.750000
1984	-0.530226	-3.953450	0.750000
1993	-0.526477	-3.957288	0.750000
2001	-0.524877	-3.961128	0.750000
2013	-0.524939	-3.967132	0.750000
2020	-0.524730	-3.971127	0.750000
2029	-0.525001	-3.975024	0.750000
2038	-0.527738	-3.979664	0.750000
2047	-0.531735	-3.983709	0.750000
2055	-0.538031	-3.990016	0.750000
2061	-0.539847	-3.992186	0.750000
2067	-0.541572	-3.994106	0.750000
2074	-0.546072	-3.998310	0.750000
2086	-0.551933	-4.002488	0.750000
2092	-0.561682	-4.009769	0.750000
2100	-0.566790	-4.014076	0.750000
2115	-0.571119	-4.018456	0.750000
2128	-0.582812	-4.029627	0.750000
2137	-0.587930	-4.034173	0.750000
2147	-0.592936	-4.038694	0.750000
2155	-0.598614	-4.043364	0.750000
2164	-0.608187	-4.051388	0.750000
