TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.359245	-2.697924	-0.000000
10	-0.351942	-2.700293	-0.000000
17	-0.344491	-2.702598	0.000000
27	-0.337302	-2.704849	0.000000
36	-0.325821	-2.708492	-0.000000
44	-0.318490	-2.710551	-0.000000
54	-0.310968	-2.712512	-0.000000
63	-0.302539	-2.714426	0.000000
72	-0.292656	-2.717306	0.000000
81	-0.284854	-2.719132	0.000000
90	-0.274868	-2.720960	-0.000000
98	-0.264357	-2.722755	-0.000000
110	-0.247174	-2.725734	0.000000
117	-0.237006	-2.727370	0.000000
126	-0.225600	-2.728998	0.000000
136	-0.213312	-2.730555	-0.000000
143	-0.194555	-2.733020	-0.000000
152	-0.181990	-2.734592	-0.000000
164	-0.167512	-2.736115	0.000000
171	-0.148194	-2.737896	0.000000
180	-0.132528	-2.739293	0.000000
190	-0.111997	-2.741421	-0.000000
198	-0.099462	-2.742778	-0.000000
207	-0.087007	-2.744125	-0.000000
217	-0.069732	-2.746466	0.000000
225	-0.064437	-2.747505	0.000000
234	-0.059081	-2.749043	0.000000
243	-0.058084	-2.750403	-0.000000
252	-0.061024	-2.751803	-0.000000
261	-0.068106	-2.754083	0.000000
270	-0.072747	-2.755620	0.000000
282	-0.076468	-2.757175	-0.000000
289	-0.079634	-2.758747	-0.000000
298	-0.082790	-2.761537	-0.000000
307	-0.083973	-2.763095	-0.000000
316	-0.084174	-2.764651	0.000000
328	-0.081240	-2.767086	0.000000
334	-0.076163	-2.768564	-0.000000
342	-0.069009	-2.769989	-0.000000
352	-0.061117	-2.771317	-0.000000
361	-0.048824	-2.772732	0.000000
369	-0.036502	-2.773802	0.000000
378	-0.019322	-2.775265	0.000000
388	-0.009787	-2.776047	-0.000000
397	-0.001921	-2.776744	-0.000000
406	0.004761	-2.777288	-0.000000
414	0.013383	-2.778036	0.000000
424	0.017215	-2.778420	0.000000
437	0.020728	-2.778855	0.000000
451	0.024056	-2.779083	-0.000000
461	0.023857	-2.779100	0.000000
469	0.021358	-2.779087	0.000000
477	0.017799	-2.779099	0.000000
486	0.014009	-2.779089	-0.000000
496	0.011653	-2.778930	-0.000000
505	0.010393	-2.778751	-0.000000
514	0.009674	-2.778395	0.000000
523	0.010761	-2.777875	0.000000
532	0.012726	-2.777399	0.000000
545	0.013736	-2.776868	-0.000000
552	0.015008	-2.776381	-0.000000
560	0.015387	-2.775900	0.000000
568	0.013759	-2.775213	0.000000
577	0.013237	-2.774834	0.000000
586	0.013596	-2.774399	-0.000000
595	0.012455	-2.774021	-0.000000
603	0.010325	-2.773348	-0.000000
613	0.008382	-2.772998	0.000000
622	0.006215	-2.772593	0.000000
632	0.003491	-2.772142	0.000000
640	-0.000617	-2.771561	-0.000000
654	-0.003011	-2.771120	-0.000000
667	-0.007025	-2.770417	0.000000
675	-0.008738	-2.770089	0.000000
687	-0.008339	-2.769874	-0.000000
694	-0.006601	-2.769687	-0.000000
703	-0.004434	-2.769593	-0.000000
712	0.001406	-2.769586	0.000000
720	0.004405	-2.769631	0.000000
730	0.006665	-2.769783	0.000000
739	0.007624	-2.770021	-0.000000
749	0.006741	-2.770327	-0.000000
758	0.004524	-2.770840	-0.000000
767	0.000793	-2.771322	0.000000
775	-0.004760	-2.771925	0.000000
784	-0.013519	-2.772429	0.000000
794	-0.029325	-2.773320	-0.000000
803	-0.038820	-2.773915	-0.000000
812	-0.049018	-2.774574	0.000000
821	-0.057590	-2.775216	0.000000
829	-0.066148	-2.776360	0.000000
838	-0.068061	-2.777107	-0.000000
847	-0.066385	-2.777832	-0.000000
856	-0.063288	-2.778540	-0.000000
865	-0.055250	-2.779596	0.000000
878	-0.049253	-2.780082	0.000000
884	-0.042499	-2.780476	-0.000000
892	-0.034667	-2.780807	-0.000000
901	-0.020504	-2.781163	-0.000000
911	-0.009589	-2.781190	0.000000
920	0.000348	-2.781105	0.000000
929	0.013808	-2.780869	0.000000
938	0.028035	-2.780474	-0.000000
947	0.047981	-2.779665	-0.000000
956	0.058758	-2.778889	-0.000000
964	0.067767	-2.778007	0.000000
974	0.077789	-2.776973	0.000000
988	0.102939	-2.774470	-0.000000
