TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
1417	0.424775	1.142094	-0.300000
1425	0.420492	1.147880	-0.300000
1434	0.418120	1.151382	-0.300000
1443	0.416333	1.154830	-0.300000
1452	0.414586	1.158315	-0.300000
1462	0.411893	1.163489	-0.300000
1471	0.410363	1.166921	-0.300000
1479	0.408968	1.170310	-0.300000
1489	0.408722	1.174301	-0.300000
1499	0.407133	1.179357	-0.300000
1507	0.405475	1.182770	-0.300000
1515	0.404103	1.186132	-0.300000
1525	0.402051	1.189569	-0.300000
1533	0.399846	1.192958	-0.300000
1543	0.395582	1.198536	-0.300000
1551	0.392882	1.201829	-0.300000
1560	0.390256	1.205150	-0.300000
1569	0.387769	1.208460	-0.300000
1578	0.383945	1.213330	-0.300000
1588	0.381030	1.216522	-0.300000
1596	0.379510	1.219698	-0.300000
1609	0.376996	1.223472	-0.300000
1615	0.374817	1.228218	-0.300000
1624	0.373684	1.231395	-0.300000
1633	0.373093	1.234582	-0.300000
1641	0.372608	1.237723	-0.300000
1650	0.372289	1.242461	-0.300000
1660	0.371976	1.245617	-0.300000
1669	0.372545	1.249248	-0.300000
1677	0.373695	1.252395	-0.300000
1696	0.375490	1.260204	-0.300000
1705	0.376037	1.263387	-0.300000
1724	0.377742	1.269803	-0.300000
1731	0.379800	1.275101	-0.300000
1737	0.380103	1.278203	-0.300000
1749	0.378039	1.281387	-0.300000
1755	0.377614	1.283332	-0.300000
1768	0.377414	1.289280	-0.300000
1777	0.376501	1.292411	-0.300000
1786	0.375676	1.295563	-0.300000
1795	0.375392	1.298699	-0.300000
1803	0.372734	1.303831	-0.300000
1809	0.371530	1.306177	-0.300000
1827	0.369271	1.309991	-0.300000
1833	0.367176	1.313061	-0.300000
1839	0.365448	1.317642	-0.300000
1845	0.364261	1.320530	-0.300000
1858	0.361832	1.324249	-0.300000
1867	0.359779	1.327241	-0.300000
1877	0.355583	1.331814	-0.300000
1885	0.353226	1.334819	-0.300000
1894	0.350658	1.337764	-0.300000
1904	0.347969	1.340701	-0.300000
1912	0.345358	1.343583	-0.300000
1921	0.340959	1.348376	-0.300000
1930	0.337855	1.351190	-0.300000
1940	0.335882	1.354061	-0.300000
1948	0.334370	1.356876	-0.300000
1956	0.331682	1.361068	-0.300000
1968	0.330207	1.363831	-0.300000
1975	0.328469	1.366542	-0.300000
1984	0.327283	1.369803	-0.300000
1993	0.326257	1.373856	-0.300000
2002	0.324889	1.376664	-0.300000
2011	0.324178	1.379413	-0.300000
2020	0.324260	1.382165	-0.300000
2029	0.323605	1.386261	-0.300000
2038	0.324373	1.388951	-0.300000
2049	0.324239	1.392153	-0.300000
2057	0.323202	1.394882	-0.300000
2065	0.323891	1.398949	-0.300000
2074	0.324233	1.401645	-0.300000
2084	0.324537	1.404364	-0.300000
2092	0.325097	1.407048	-0.300000
2103	0.325798	1.409817	-0.300000
2111	0.327884	1.414380	-0.300000
2119	0.328083	1.417125	-0.300000
2128	0.326738	1.419858	-0.300000
2138	0.325241	1.422586	-0.300000
2147	0.322711	1.426588	-0.300000
2160	0.320477	1.429294	-0.300000
2167	0.318091	1.431988	-0.300000
2174	0.317269	1.435062	-0.300000
2182	0.318426	1.438983	-0.300000
2188	0.319008	1.440408	-0.300000
2194	0.320221	1.441647	-0.300000
2200	0.323370	1.444269	-0.300000
2206	0.325975	1.446454	-0.300000
2219	0.330749	1.451169	-0.300000
2227	0.332817	1.453942	-0.300000
2237	0.335332	1.457165	-0.300000
2246	0.336113	1.459988	-0.300000
2256	0.336298	1.462824	-0.300000
2269	0.340759	1.466998	-0.300000
2275	0.343987	1.469909	-0.300000
2282	0.346641	1.472760	-0.300000
2290	0.349925	1.475615	-0.300000
2296	0.354059	1.478000	-0.300000
2309	0.364592	1.483453	-0.300000
2319	0.368787	1.486522	-0.300000
2328	0.371181	1.489676	-0.300000
2335	0.374742	1.494272	-0.300000
2345	0.376686	1.497337	-0.300000
2354	0.376303	1.500406	-0.300000
2363	0.375726	1.504023	-0.300000
2377	0.377601	1.508606	-0.300000
2390	0.380357	1.514806	-0.300000
2399	0.380026	1.517904	-0.300000
2408	0.382286	1.522486	-0.300000
2416	0.384788	1.526101	-0.300000
2427	0.385833	1.529293	-0.300000
2435	0.386034	1.532413	-0.300000
2445	0.387546	1.537137	-0.300000
2454	0.386691	1.540348	-0.300000
2462	0.381883	1.543484	-0.300000
2471	0.377032	1.546530	-0.300000
2490	0.376550	1.554588	-0.300000
2498	0.374403	1.557669	-0.300000
2507	0.374109	1.560685	-0.300000
2517	0.375456	1.563723	-0.300000
2525	0.375483	1.568220	-0.300000
2534	0.364494	1.571172	-0.300000
2544	0.354534	1.574117	-0.300000
2552	0.358190	1.577457	-0.300000
2562	0.363424	1.581871	-0.300000
2570	0.356911	1.584787	-0.300000
2580	0.352556	1.587683	-0.300000
2588	0.355731	1.590525	-0.300000
2599	0.354178	1.594800	-0.300000
2607	0.342399	1.598160	-0.300000
2615	0.333233	1.600865	-0.300000
2625	0.335411	1.603656	-0.300000
2635	0.345266	1.607867	-0.300000
2642	0.341158	1.610675	-0.300000
2651	0.335849	1.613429	-0.300000
2661	0.334470	1.616181	-0.300000
2670	0.339577	1.619426	-0.300000
2679	0.336892	1.623562	-0.300000
2688	0.334440	1.626372	-0.300000
2696	0.338340	1.629154	-0.300000
2709	0.347407	1.631963	-0.300000
2715	0.348486	1.636263	-0.300000
2723	0.342089	1.639081	-0.300000
2736	0.340880	1.642386	-0.300000
2742	0.346517	1.645253	-0.300000
2750	0.354503	1.649529	-0.300000
2756	0.353023	1.652423	-0.300000
2765	0.352835	1.655150	-0.300000
2778	0.359175	1.658238	-0.300000
2788	0.363600	1.662724	-0.300000
2796	0.361171	1.666262	-0.300000
2805	0.360834	1.669208	-0.300000
2819	0.363395	1.672158	-0.300000
2832	0.363244	1.679540	-0.300000
2841	0.360717	1.682464	-0.300000
2850	0.361710	1.685380	-0.300000
2859	0.366293	1.688824	-0.300000
2868	0.365224	1.693264	-0.300000
2877	0.362433	1.696216	-0.300000
2886	0.362578	1.699131	-0.300000
2897	0.365174	1.702122	-0.300000
2905	0.363256	1.706553	-0.300000
2913	0.360086	1.709488	-0.300000
2926	0.358244	1.712860	-0.300000
2933	0.358950	1.715782	-0.300000
2940	0.355755	1.720066	-0.300000
2950	0.349495	1.722960	-0.300000
2959	0.345710	1.725812	-0.300000
2968	0.343913	1.728600	-0.300000
2976	0.339069	1.732711	-0.300000
2986	0.332188	1.735858	-0.300000
2994	0.326981	1.738432	-0.300000
3004	0.323923	1.741065	-0.300000
3012	0.320952	1.743607	-0.300000
3022	0.314055	1.747465	-0.300000
3039	0.304621	1.752454	-0.300000
3048	0.302208	1.755300	-0.300000
3058	0.297794	1.758850	-0.300000
3066	0.294786	1.761145	-0.300000
3076	0.293416	1.763495	-0.300000
3085	0.293253	1.765817	-0.300000
3093	0.292783	1.769291	-0.300000
3102	0.292279	1.772020	-0.300000
3114	0.292620	1.774442	-0.300000
3121	0.294396	1.776808	-0.300000
3130	0.296784	1.780438	-0.300000
3139	0.297906	1.782926	-0.300000
3149	0.299165	1.785320	-0.300000
3156	0.300604	1.787728	-0.300000
3165	0.303443	1.791333	-0.300000
3171	0.304415	1.793126	-0.300000
3184	0.304308	1.796633	-0.300000
3192	0.304259	1.799034	-0.300000
3203	0.305190	1.801531	-0.300000
3210	0.304596	1.805185	-0.300000
3219	0.304162	1.807621	-0.300000
3229	0.303433	1.810114	-0.300000
3238	0.302506	1.812989	-0.300000
3247	0.300088	1.816697	-0.300000
3260	0.297459	1.819171	-0.300000
3266	0.295631	1.821645	-0.300000
3274	0.294428	1.824080	-0.300000
3282	0.291189	1.827669	-0.300000
3292	0.289613	1.830120	-0.300000
3301	0.287910	1.832914	-0.300000
3310	0.284695	1.835361	-0.300000
3319	0.280191	1.838915	-0.300000
3328	0.277891	1.841347	-0.300000
3337	0.275118	1.843722	-0.300000
3346	0.272262	1.846024	-0.300000
3356	0.268282	1.849900	-0.300000
3369	0.265566	1.852188	-0.300000
3382	0.260495	1.856809	-0.300000
3392	0.258469	1.859121	-0.300000
3399	0.258638	1.862514	-0.300000
3411	0.259059	1.864871	-0.300000
3418	0.259015	1.867541	-0.300000
3428	0.258245	1.869899	-0.300000
3436	0.259901	1.873485	-0.300000
3445	0.261783	1.875875	-0.300000
3454	0.263416	1.878221	-0.300000
3464	0.265284	1.880632	-0.300000
3477	0.270081	1.884241	-0.300000
3491	0.277707	1.889616	-0.300000
3499	0.280563	1.892127	-0.300000
3508	0.286580	1.895915	-0.300000
3516	0.290211	1.898471	-0.300000
3527	0.293488	1.901072	-0.300000
3535	0.297421	1.903671	-0.300000
3544	0.304046	1.908139	-0.300000
3554	0.307431	1.910897	-0.300000
3563	0.310489	1.913625	-0.300000
3571	0.314199	1.916310	-0.300000
3591	0.325270	1.923238	-0.300000
3599	0.329993	1.926106	-0.300000
3608	0.336630	1.929413	-0.300000
3617	0.342510	1.932309	-0.300000
3625	0.351892	1.936672	-0.300000
3635	0.357629	1.939624	-0.300000
3644	0.363574	1.942575	-0.300000
3653	0.370641	1.945644	-0.300000
3663	0.382571	1.950358	-0.300000
3670	0.391381	1.954032	-0.300000
3679	0.398057	1.957154	-0.300000
3689	0.404116	1.960325	-0.300000
3701	0.413765	1.965145	-0.300000
3707	0.419393	1.968443	-0.300000
3716	0.424452	1.971754	-0.300000
3726	0.429608	1.975079	-0.300000
3734	0.436952	1.980673	-0.300000
3743	0.441001	1.984018	-0.300000
3752	0.443642	1.987384	-0.300000
3761	0.445427	1.990802	-0.300000
3770	0.447047	1.994159	-0.300000
3779	0.449424	1.999269	-0.300000
3788	0.450088	2.002640	-0.300000
3797	0.449927	2.006584	-0.300000
3809	0.450009	2.009917	-0.300000
3815	0.449669	2.015015	-0.300000
3824	0.448474	2.018362	-0.300000
3833	0.447166	2.021727	-0.300000
3842	0.445413	2.025039	-0.300000
3851	0.443234	2.030057	-0.300000
3860	0.441030	2.033937	-0.300000
3869	0.438915	2.037235	-0.300000
3932	0.406164	2.063504	-0.300000
3941	0.399017	2.066514	-0.300000
3950	0.391937	2.069499	-0.300000
3959	0.385731	2.072427	-0.300000
3969	0.376037	2.076850	-0.300000
3977	0.369482	2.079792	-0.300000
3986	0.361343	2.083108	-0.300000
3998	0.354723	2.085821	-0.300000
4005	0.345761	2.089905	-0.300000
4013	0.340228	2.092559	-0.300000
4027	0.334633	2.095200	-0.300000
4033	0.329914	2.097845	-0.300000
4040	0.324606	2.101782	-0.300000
4046	0.322180	2.103618	-0.300000
4055	0.319791	2.104781	-0.300000
4068	0.311736	2.109869	-0.300000
4076	0.309265	2.113751	-0.300000
4082	0.308075	2.115751	-0.300000
4094	0.305453	2.118866	-0.300000
4103	0.303694	2.121395	-0.300000
4113	0.302348	2.125649	-0.300000
4122	0.301392	2.128174	-0.300000
4140	0.299886	2.133336	-0.298162
4149	0.300633	2.135913	-0.298162
4157	0.301102	2.139888	-0.298162
