TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.030744	-2.686393	0.071950
8	0.028064	-2.686290	0.069521
17	0.023010	-2.686177	0.069521
28	0.018157	-2.686187	0.069521
40	0.013646	-2.686193	0.070674
45	0.009220	-2.686241	0.070674
53	0.000627	-2.686323	0.070674
64	-0.005649	-2.686468	0.071970
71	-0.011187	-2.686619	0.071970
81	-0.016888	-2.686835	0.071970
89	-0.022861	-2.687165	0.071970
100	-0.028058	-2.687490	0.071970
108	-0.031624	-2.687772	0.073236
116	-0.034358	-2.688061	0.073236
125	-0.035307	-2.688374	0.073236
137	-0.036441	-2.688869	0.073236
144	-0.037039	-2.689190	0.073236
154	-0.037005	-2.689536	0.073236
162	-0.036327	-2.689877	0.074423
171	-0.034844	-2.690284	0.074423
180	-0.034547	-2.690527	0.074423
188	-0.033885	-2.690757	0.074423
200	-0.033246	-2.690992	0.074423
207	-0.032310	-2.691253	0.075582
216	-0.031672	-2.691413	0.075582
225	-0.030203	-2.691557	0.075582
234	-0.028732	-2.691629	0.075582
243	-0.026452	-2.691675	0.075582
254	-0.025308	-2.691701	0.079421
270	-0.023016	-2.691637	0.079421
280	-0.022076	-2.691550	0.079421
287	-0.021926	-2.691320	0.079421
302	-0.020461	-2.691171	0.082124
312	-0.018590	-2.690995	0.082124
325	-0.015249	-2.690531	0.082124
333	-0.014303	-2.690288	0.082124
343	-0.013415	-2.690053	0.082124
351	-0.011921	-2.689750	0.082124
360	-0.010302	-2.689327	0.084780
373	-0.009073	-2.689073	0.084780
379	-0.008101	-2.688802	0.084780
388	-0.006438	-2.688502	0.084780
396	-0.003767	-2.688085	0.084780
405	-0.001438	-2.687721	0.087374
414	0.001256	-2.687410	0.087374
424	0.002722	-2.687117	0.087374
434	0.005389	-2.686780	0.087374
442	0.007929	-2.686622	0.087374
450	0.011261	-2.686459	0.087374
460	0.014955	-2.686329	0.086338
468	0.018472	-2.686159	0.086338
483	0.025362	-2.685907	0.086338
496	0.031739	-2.685667	0.086338
505	0.033074	-2.685543	0.085058
514	0.034797	-2.685443	0.085058
522	0.034601	-2.685379	0.085058
531	0.034933	-2.685330	0.085058
541	0.035916	-2.685325	0.085058
549	0.036552	-2.685328	0.085058
555	0.036795	-2.685340	0.083753
561	0.036899	-2.685386	0.083753
568	0.036638	-2.685482	0.083753
576	0.035329	-2.685577	0.083753
589	0.032535	-2.685780	0.083753
595	0.029846	-2.686016	0.083753
604	0.027558	-2.686203	0.083753
613	0.024748	-2.686424	0.082352
623	0.022225	-2.686785	0.082352
631	0.020501	-2.687061	0.082352
639	0.018151	-2.687309	0.082352
651	0.014923	-2.687580	0.082352
658	0.010842	-2.687950	0.080903
666	0.006189	-2.688424	0.080903
678	0.003750	-2.688759	0.080903
685	0.000834	-2.689130	0.080903
694	-0.002357	-2.689471	0.080903
702	-0.006238	-2.690023	0.080903
712	-0.007346	-2.690402	0.079279
717	-0.007879	-2.690579	0.079279
731	-0.012567	-2.691276	0.079279
738	-0.017297	-2.691907	0.079279
749	-0.019467	-2.692335	0.079279
757	-0.020817	-2.692763	0.075972
766	-0.023009	-2.693196	0.075972
775	-0.027143	-2.693852	0.075972
784	-0.028859	-2.694360	0.075972
793	-0.029975	-2.694805	0.075972
803	-0.030928	-2.695221	0.075972
812	-0.032678	-2.695885	0.072569
820	-0.034363	-2.696315	0.072569
829	-0.035547	-2.696750	0.072569
838	-0.036998	-2.697204	0.072569
847	-0.039291	-2.697733	0.072569
856	-0.040629	-2.698426	0.069060
866	-0.040951	-2.698879	0.069060
874	-0.040903	-2.699324	0.069060
883	-0.039621	-2.699772	0.069060
892	-0.037091	-2.700427	0.069060
902	-0.035494	-2.700837	0.069060
911	-0.033983	-2.701335	0.065476
923	-0.033217	-2.701659	0.065476
929	-0.032006	-2.702102	0.065476
937	-0.031832	-2.702313	0.065476
946	-0.030887	-2.702509	0.065476
956	-0.029994	-2.702782	0.061792
965	-0.030084	-2.703294	0.061792
974	-0.030471	-2.703681	0.061792
983	-0.032040	-2.703975	0.061792
992	-0.033861	-2.704268	0.061792
1000	-0.035741	-2.704651	0.061792
1010	-0.037045	-2.704969	0.058065
1019	-0.038407	-2.705281	0.058065
1032	-0.039393	-2.705509	0.058065
1038	-0.040501	-2.705789	0.058065
1045	-0.041614	-2.706065	0.058065
1055	-0.042325	-2.706207	0.054255
1064	-0.041565	-2.706419	0.054255
1073	-0.040378	-2.706743	0.054255
1081	-0.038954	-2.707102	0.054255
1091	-0.038101	-2.707214	0.054255
1101	-0.036340	-2.707290	0.054255
1109	-0.034132	-2.707366	0.050467
1117	-0.030878	-2.707466	0.050467
1129	-0.028867	-2.707531	0.050467
1140	-0.027595	-2.707559	0.050467
1147	-0.026200	-2.707536	0.050467
1155	-0.022673	-2.707512	0.046492
1164	-0.020998	-2.707530	0.046492
1172	-0.020003	-2.707559	0.046492
1177	-0.018891	-2.707396	0.046492
1190	-0.018125	-2.706999	0.046492
1208	-0.015657	-2.706332	0.042608
1217	-0.014854	-2.706230	0.042608
1226	-0.013225	-2.706155	0.042608
1235	-0.011029	-2.705994	0.042608
1244	-0.009078	-2.705880	0.042608
1253	-0.007626	-2.705739	0.042608
1263	-0.006609	-2.705628	0.038782
1272	-0.003340	-2.705480	0.038782
1280	0.000101	-2.705266	0.588561
1289	0.002165	-2.704945	0.588561
1298	0.003643	-2.704665	0.588561
1307	0.005982	-2.703486	0.584768
1316	0.006410	-2.703183	0.584768
1326	0.006084	-2.702906	0.584768
1334	0.000630	-2.702835	0.584768
1343	-0.033795	-2.703208	0.584768
1352	-0.068095	-2.703801	0.584768
1363	-0.113310	-2.704631	0.581009
1370	-0.167769	-2.705884	0.581009
1381	-0.220563	-2.707502	0.581009
1389	-0.283665	-2.710728	0.581009
1397	-0.321980	-2.713289	0.581009
1402	-0.336116	-2.714352	0.576691
1417	-0.388212	-2.719762	0.576691
1424	-0.419447	-2.724921	0.576691
1479	-0.479686	-2.749787	0.571844
1487	-0.484737	-2.753908	0.571844
1496	-0.491728	-2.760051	0.571844
1506	-0.496742	-2.764171	0.566110
1514	-0.501793	-2.768275	0.566110
1520	-0.504563	-2.770687	0.566110
1533	-0.511260	-2.777320	0.566110
1542	-0.517417	-2.783552	0.566110
1551	-0.520684	-2.787607	0.566110
1560	-0.523267	-2.791627	0.559620
1569	-0.525226	-2.795689	0.559620
1582	-0.525229	-2.801989	0.559620
1596	-0.523300	-2.811224	0.559620
1605	-0.521801	-2.815399	0.552161
1613	-0.520148	-2.821481	0.552161
1731	-0.623035	-3.067814	0.567756
2344	-0.592495	-3.278141	0.567756
