TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.065573	-0.458330	-0.000640
9	0.060076	-0.457532	-0.000631
18	0.055874	-0.457015	-0.000631
26	0.052746	-0.456453	-0.000631
38	0.048740	-0.455817	-0.000631
45	0.044158	-0.454948	-0.000631
55	0.042108	-0.454269	-0.000631
63	0.040226	-0.453521	-0.000558
72	0.039121	-0.452672	-0.000558
81	0.038292	-0.451919	-0.000558
91	0.037128	-0.450744	-0.004582
99	0.037136	-0.449848	-0.004582
108	0.036617	-0.448961	-0.008451
126	0.034540	-0.446614	-0.008451
135	0.035013	-0.445474	-0.008451
144	0.035966	-0.444452	-0.008451
153	0.036209	-0.443386	-0.008451
162	0.036556	-0.441755	-0.012242
172	0.036363	-0.440615	-0.012242
180	0.037457	-0.439507	-0.012242
191	0.038628	-0.438305	-0.012242
201	0.039578	-0.436391	-0.010045
207	0.040177	-0.435205	-0.010045
217	0.039958	-0.433973	-0.007869
225	0.038874	-0.432784	-0.007869
234	0.037509	-0.430975	-0.007869
244	0.036750	-0.429779	-0.007869
271	0.032832	-0.425941	-0.005721
280	0.032109	-0.424196	-0.005721
288	0.031517	-0.423033	-0.005721
298	0.032164	-0.421864	-0.005721
311	0.034015	-0.420751	-0.003850
320	0.038074	-0.418927	-0.007478
326	0.040078	-0.417822	-0.003850
333	0.042448	-0.416743	-0.003850
361	0.052951	-0.413119	-0.375074
369	0.057043	-0.411616	-0.375074
381	0.059449	-0.410551	-0.375074
387	0.061927	-0.409494	-0.375074
405	0.077737	-0.407054	-0.375074
419	0.094424	-0.406009	-0.375016
425	0.115105	-0.404708	-0.375016
433	0.142627	-0.403381	-0.375016
441	0.197136	-0.400910	-0.375016
459	0.251555	-0.397179	-0.375124
478	0.292722	-0.391864	-0.375124
486	0.303307	-0.389629	-0.375124
497	0.314178	-0.387369	-0.374966
535	0.369475	-0.375632	-0.374360
543	0.378969	-0.372907	-0.374632
551	0.386313	-0.370169	-0.375199
559	0.392944	-0.365989	-0.375828
568	0.397607	-0.363133	-0.375828
577	0.403384	-0.359702	-0.375828
585	0.407196	-0.356712	-0.375828
595	0.410264	-0.352210	-0.375828
604	0.412009	-0.349144	-0.375828
613	0.412654	-0.346087	-0.376222
622	0.412101	-0.343039	-0.376222
631	0.407714	-0.337880	-0.376222
641	0.403102	-0.334791	-0.376222
649	0.397690	-0.331593	-0.376222
658	0.392845	-0.328387	-0.377072
768	0.360079	-0.282467	-0.393150
784	0.366052	-0.273320	-0.393150
794	0.371218	-0.269499	-0.393150
802	0.375569	-0.265625	-0.393150
812	0.380095	-0.261742	-0.400552
820	0.388266	-0.255047	-0.400552
830	0.393531	-0.250867	-0.400552
838	0.398460	-0.246690	-0.400552
849	0.402812	-0.242381	-0.400552
860	0.408155	-0.235970	-0.399963
867	0.412999	-0.231621	-0.399963
875	0.418176	-0.227219	-0.399963
884	0.424921	-0.221975	-0.399963
893	0.434773	-0.215288	-0.399963
902	0.441793	-0.210650	-0.399963
911	0.449025	-0.206108	-0.398968
920	0.454953	-0.201486	-0.398968
928	0.459897	-0.196863	-0.398968
940	0.467816	-0.189654	-0.398968
947	0.475732	-0.183928	-0.398968
956	0.482114	-0.178904	-0.398968
970	0.487839	-0.173811	-0.398014
983	0.499012	-0.161358	-0.398014
992	0.500892	-0.156339	-0.398014
1001	0.503256	-0.151387	-0.398014
1010	0.505075	-0.143137	-0.398373
1019	0.503703	-0.138169	-0.398373
1028	0.502591	-0.133265	-0.398373
1037	0.501923	-0.128417	-0.398373
1047	0.499506	-0.121161	-0.398373
1055	0.497908	-0.116248	-0.398373
1064	0.497007	-0.111464	-0.398708
1073	0.497482	-0.105798	-0.398708
1082	0.497846	-0.098693	-0.398708
1087	0.496972	-0.093935	-0.398708
1101	0.496638	-0.089220	-0.398708
1109	0.495374	-0.084533	-0.397152
1118	0.492581	-0.077682	-0.397152
1127	0.490670	-0.073011	-0.397152
1136	0.489029	-0.067657	-0.397152
1144	0.487645	-0.063169	-0.397152
1155	0.487163	-0.058658	-0.397152
1162	0.487455	-0.052050	-0.395252
1172	0.488406	-0.047557	-0.395252
1181	0.489223	-0.043126	-0.395252
1192	0.490224	-0.038712	-0.390936
1198	0.490860	-0.031451	-0.390936
1210	0.491244	-0.027001	-0.387056
1217	0.490884	-0.022642	-0.387056
1227	0.489991	-0.018199	-0.387056
1236	0.488458	-0.011708	-0.387056
1244	0.487773	-0.007365	-0.387056
1253	0.487417	-0.003058	-0.387056
1264	0.486558	0.001880	-0.383265
1271	0.487038	0.008149	-0.383265
1281	0.487956	0.012406	-0.383265
1290	0.489670	0.016649	-0.383265
1301	0.491769	0.020864	-0.383265
1307	0.495874	0.027134	-0.383265
1317	0.497449	0.031322	-0.381741
1325	0.497877	0.036197	-0.381741
1335	0.497604	0.040384	-0.381741
1344	0.496273	0.044608	-0.381741
1352	0.493443	0.050922	-0.381741
1361	0.493963	0.055223	-0.379558
1373	0.496709	0.059504	-0.379558
1379	0.499087	0.063760	-0.379558
1388	0.501013	0.070749	-0.379558
1398	0.500977	0.074996	-0.379558
1411	0.500848	0.079212	-0.370492
1417	0.501097	0.083476	-0.370492
1424	0.500488	0.089756	-0.370492
1443	0.498735	0.098082	-0.370492
1452	0.497846	0.102948	-0.370492
1462	0.496978	0.109266	-0.366500
1469	0.497242	0.113556	-0.365563
1479	0.497671	0.117884	-0.366500
1487	0.498584	0.122153	-0.366500
1499	0.498969	0.126491	-0.366500
1506	0.498655	0.133590	-0.366500
1519	0.499174	0.137932	-0.365175
1534	0.501127	0.146642	-0.365175
1543	0.502250	0.153051	-0.365175
1552	0.502681	0.157342	-0.365175
1561	0.503432	0.161715	-0.362779
1569	0.503353	0.166032	-0.362779
1577	0.502568	0.173170	-0.362779
1587	0.502076	0.177524	-0.362779
1597	0.501545	0.181886	-0.362779
1605	0.499766	0.186192	-0.362779
1615	0.497952	0.192685	-0.360068
1623	0.497092	0.197088	-0.360068
1634	0.495519	0.201538	-0.360068
1641	0.493888	0.206648	-0.360068
1649	0.492974	0.213045	-0.360068
1659	0.491738	0.217295	-0.356881
