TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	0.048334	-0.786933	-0.013554
8	0.044272	-0.786294	-0.013554
19	0.042694	-0.785925	-0.013554
27	0.041430	-0.785549	-0.014365
36	0.039355	-0.785181	-0.014365
45	0.036901	-0.784623	-0.014365
57	0.035845	-0.784276	-0.015002
63	0.033620	-0.783872	-0.015002
73	0.032864	-0.783518	-0.015660
82	0.032777	-0.783179	-0.015660
90	0.032108	-0.782637	-0.015660
100	0.031985	-0.782302	-0.015660
109	0.031664	-0.781976	-0.015660
117	0.031246	-0.781632	-0.015660
126	0.029575	-0.781003	-0.016313
136	0.029016	-0.780631	-0.016313
144	0.028692	-0.780240	-0.016313
154	0.027936	-0.779878	-0.016313
166	0.026859	-0.779308	-0.016313
172	0.026716	-0.778936	-0.016971
191	0.026865	-0.778059	-0.345091
199	0.027063	-0.777708	-0.345091
209	0.028438	-0.777354	-0.635568
218	0.029887	-0.776992	-0.635568
227	0.032939	-0.776510	-0.700000
234	0.035812	-0.776042	-0.700000
245	0.039816	-0.775678	-0.700000
253	0.045452	-0.775204	-0.700000
261	0.059502	-0.774395	-0.700000
275	0.079335	-0.773760	-0.700000
281	0.106139	-0.772964	-0.700000
288	0.136052	-0.771925	-0.700000
300	0.187174	-0.769891	-0.700000
317	0.249235	-0.766031	-0.700000
325	0.278879	-0.763971	-0.700000
335	0.312489	-0.761682	-0.700000
342	0.361532	-0.757715	-0.700000
361	0.414745	-0.751671	-0.700000
370	0.437785	-0.748365	-0.700000
383	0.469674	-0.742522	-0.700000
389	0.486874	-0.738866	-0.700000
397	0.502572	-0.735069	-0.700000
406	0.517140	-0.731164	-0.700000
414	0.538995	-0.725065	-0.700000
424	0.552144	-0.720910	-0.700000
433	0.564749	-0.716615	-0.700000
442	0.581608	-0.711474	-0.700000
451	0.601367	-0.704663	-0.700000
460	0.613298	-0.700000	-0.700000
469	0.624039	-0.695262	-0.700000
478	0.633668	-0.690422	-0.700000
487	0.645896	-0.682971	-0.700000
505	0.658714	-0.672064	-0.700000
515	0.664289	-0.666931	-0.700000
523	0.668443	-0.661738	-0.700000
533	0.674683	-0.653842	-0.700000
541	0.678369	-0.648574	-0.700000
550	0.681805	-0.643229	-0.700000
559	0.686084	-0.637832	-0.700000
570	0.692138	-0.628733	-0.700000
578	0.694606	-0.623219	-0.700000
586	0.698062	-0.617667	-0.700000
595	0.701620	-0.612058	-0.700000
606	0.706842	-0.603564	-0.700000
613	0.711576	-0.597840	-0.700000
623	0.716529	-0.592056	-0.700000
632	0.721028	-0.585224	-0.700000
640	0.727467	-0.576399	-0.700000
648	0.731286	-0.570455	-0.700000
660	0.734211	-0.564438	-0.700000
667	0.736801	-0.558370	-0.700000
677	0.739774	-0.552266	-0.700000
686	0.743950	-0.542039	-0.700000
694	0.744708	-0.535889	-0.700000
703	0.745238	-0.529666	-0.700000
716	0.745751	-0.523468	-0.700000
722	0.744886	-0.514144	-0.700000
732	0.743625	-0.507900	-0.700000
748	0.742268	-0.495418	-0.700000
757	0.743207	-0.484990	-0.700000
767	0.744448	-0.478726	-0.700000
775	0.745631	-0.472419	-0.700000
785	0.747023	-0.466105	-0.700000
795	0.748210	-0.456624	-0.700000
802	0.748925	-0.450234	-0.700000
811	0.751078	-0.443849	-0.700000
825	0.752219	-0.436330	-0.700000
831	0.751758	-0.426744	-0.700000
839	0.750842	-0.420297	-0.700000
848	0.749056	-0.413862	-0.700000
856	0.747814	-0.407493	-0.700000
865	0.745160	-0.401107	-0.700000
875	0.740622	-0.391530	-0.700000
883	0.737455	-0.384148	-0.700000
893	0.734500	-0.377827	-0.700000
902	0.731158	-0.371514	-0.700000
910	0.725257	-0.362167	-0.700000
922	0.721057	-0.355980	-0.700000
933	0.717331	-0.349804	-0.700000
941	0.715009	-0.343648	-0.700000
947	0.713625	-0.333486	-0.700000
956	0.713021	-0.327310	-0.700000
964	0.711897	-0.321119	-0.700000
976	0.711613	-0.314956	-0.700000
983	0.713092	-0.305796	-0.700000
992	0.714285	-0.299614	-0.700000
1001	0.715946	-0.292485	-0.700000
1010	0.718110	-0.286319	-0.700000
1019	0.720628	-0.280151	-0.700000
1028	0.723214	-0.270899	-0.700000
1037	0.724470	-0.264714	-0.700000
1047	0.725331	-0.258509	-0.700000
1055	0.725143	-0.252300	-0.700000
1063	0.724571	-0.242062	-0.700000
1078	0.723615	-0.235906	-0.700000
1091	0.718312	-0.223588	-0.700000
1101	0.713235	-0.214473	-0.700000
1110	0.710574	-0.208389	-0.700000
1118	0.707737	-0.202358	-0.700000
1126	0.705483	-0.196362	-0.700000
1137	0.703674	-0.186513	-0.700000
1145	0.702728	-0.180575	-0.700000
1157	0.702313	-0.174668	-0.700000
