TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	asrud
0	-0.076615	-0.328040	0.039915
8	-0.079527	-0.328833	0.039915
15	-0.082001	-0.329598	0.036217
25	-0.083806	-0.330385	0.036217
32	-0.086523	-0.331563	0.036217
42	-0.088133	-0.332341	0.036217
51	-0.090530	-0.333144	0.036217
61	-0.092637	-0.333970	0.032450
70	-0.095832	-0.335096	0.032450
78	-0.097901	-0.335920	0.032450
87	-0.099309	-0.336741	0.032450
96	-0.100492	-0.337650	0.032450
116	-0.106010	-0.339676	0.024411
123	-0.107105	-0.340515	0.024411
132	-0.107806	-0.341383	0.024411
141	-0.109096	-0.342243	0.024411
149	-0.110589	-0.343455	0.024411
161	-0.109633	-0.344454	0.020151
168	-0.108687	-0.345309	0.020151
178	-0.107805	-0.346194	0.020151
186	-0.106309	-0.347383	0.020151
196	-0.105706	-0.348253	0.020151
204	-0.104989	-0.349112	0.020151
218	-0.104242	-0.350065	0.008892
223	-0.102005	-0.351289	0.008892
231	-0.100197	-0.352144	0.008892
241	-0.099640	-0.353006	0.008892
250	-0.098411	-0.353862	0.008892
258	-0.094512	-0.355017	0.008892
268	-0.092352	-0.355838	0.001954
277	-0.089644	-0.356681	0.001954
285	-0.085537	-0.357575	0.001954
295	-0.081691	-0.358375	0.001954
304	-0.074658	-0.359419	0.001954
312	-0.070342	-0.360132	-0.005052
326	-0.067141	-0.360820	-0.011561
332	-0.063644	-0.361507	-0.011561
340	-0.060515	-0.362411	-0.011561
349	-0.058653	-0.363172	-0.011561
358	-0.055981	-0.363840	-0.011561
367	-0.052037	-0.364472	-0.017995
375	-0.048891	-0.365299	-0.017995
387	-0.046314	-0.365898	-0.017995
394	-0.042723	-0.366477	-0.017995
403	-0.038753	-0.367051	-0.017995
413	-0.033518	-0.367825	-0.024413
420	-0.030776	-0.368324	-0.024413
426	-0.029000	-0.368625	-0.024413
440	-0.025289	-0.369271	-0.031327
449	-0.022936	-0.369841	-0.031327
457	-0.021410	-0.370263	-0.031327
467	-0.020728	-0.370714	-0.038141
474	-0.018436	-0.371165	-0.038141
484	-0.015701	-0.371557	-0.038141
494	-0.012714	-0.372044	-0.038141
503	-0.010064	-0.372417	-0.038141
511	-0.007463	-0.372754	-0.044890
520	-0.006204	-0.373111	-0.044890
528	-0.006547	-0.373625	-0.044890
538	-0.005605	-0.374081	-0.044890
550	-0.004576	-0.374500	-0.053840
557	-0.004665	-0.374922	-0.053840
564	-0.004862	-0.375270	-0.060367
574	-0.003193	-0.375528	-0.060367
583	-0.001173	-0.375739	-0.060367
592	0.000165	-0.375916	-0.060367
600	0.000758	-0.376218	-0.060367
611	0.001942	-0.376477	-0.066820
619	0.003327	-0.376683	-0.066820
629	0.005371	-0.376906	-0.066820
637	0.006569	-0.377084	-0.066820
647	0.006806	-0.377277	-0.066820
659	0.006915	-0.377456	-0.075571
665	0.006474	-0.377749	-0.082234
673	0.005524	-0.378040	-0.082234
