TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.008230	-2.711715	0.094663
11	0.003415	-2.711730	0.096274
18	-0.001744	-2.711822	0.098113
26	-0.006260	-2.711951	0.098113
36	-0.016139	-2.712311	0.098113
44	-0.022403	-2.712581	0.098113
53	-0.028100	-2.712910	0.098113
62	-0.032733	-2.713326	0.098113
72	-0.037286	-2.713767	0.098229
81	-0.043889	-2.714560	0.098229
89	-0.047304	-2.715109	0.098229
99	-0.049839	-2.715801	0.098229
107	-0.051424	-2.716383	0.098229
122	-0.054353	-2.717299	0.099492
137	-0.058074	-2.718558	0.099492
143	-0.059500	-2.719195	0.099492
152	-0.061058	-2.720164	0.099492
161	-0.062627	-2.720903	0.099492
170	-0.063431	-2.721524	0.100278
180	-0.062796	-2.722136	0.100278
189	-0.060627	-2.723019	0.100278
199	-0.059872	-2.723580	0.100278
206	-0.057804	-2.724117	0.100278
218	-0.055838	-2.724641	0.101040
234	-0.051140	-2.725956	0.100881
243	-0.049697	-2.726396	0.100881
252	-0.048375	-2.726831	0.100881
261	-0.046235	-2.727261	0.100881
270	-0.043783	-2.727915	0.100592
279	-0.042254	-2.728327	0.100592
288	-0.040804	-2.728818	0.100592
297	-0.040396	-2.729244	0.100592
306	-0.041449	-2.729888	0.100592
314	-0.043334	-2.730331	0.100592
324	-0.045011	-2.730810	0.100289
333	-0.045419	-2.731332	0.100289
343	-0.045629	-2.732270	0.100289
351	-0.046268	-2.732862	0.100289
360	-0.046485	-2.733431	0.100289
369	-0.046139	-2.733985	0.099193
378	-0.043425	-2.734792	0.099193
387	-0.041264	-2.735302	0.099193
396	-0.039544	-2.735858	0.099193
405	-0.037501	-2.736450	0.099193
416	-0.035096	-2.737095	0.097827
423	-0.032477	-2.737862	0.097827
432	-0.031282	-2.738333	0.097827
441	-0.030188	-2.738749	0.097827
452	-0.029181	-2.739157	0.097827
459	-0.027237	-2.739708	0.097827
469	-0.026757	-2.740099	0.096407
478	-0.027497	-2.740416	0.096407
486	-0.028556	-2.740713	0.096407
494	-0.030641	-2.741150	0.096407
506	-0.033059	-2.741435	0.096407
513	-0.033962	-2.741704	0.096407
523	-0.035466	-2.741970	0.094508
531	-0.037539	-2.742406	0.094508
540	-0.038809	-2.742654	0.094508
549	-0.040430	-2.742888	0.094508
562	-0.040590	-2.743135	0.094508
567	-0.043169	-2.743527	0.092293
577	-0.045718	-2.743794	0.092293
586	-0.047508	-2.744068	0.092293
594	-0.048151	-2.744401	0.092293
600	-0.048426	-2.744497	0.092293
609	-0.049116	-2.744690	0.092293
622	-0.050623	-2.745602	0.090031
631	-0.050558	-2.745984	0.090031
640	-0.049381	-2.746392	0.090031
648	-0.047875	-2.747047	0.090031
654	-0.047111	-2.747331	0.090031
663	-0.046033	-2.747572	0.087736
677	-0.042446	-2.748527	0.087736
685	-0.040079	-2.749250	0.087736
694	-0.038898	-2.749742	0.087736
702	-0.038797	-2.750231	0.087736
711	-0.037949	-2.750735	0.087736
720	-0.036819	-2.751621	0.084768
729	-0.037202	-2.752152	0.084768
740	-0.037804	-2.752698	0.084768
748	-0.038350	-2.753247	0.084768
757	-0.039798	-2.754039	0.084768
765	-0.042372	-2.754522	0.081652
780	-0.044754	-2.755041	0.081234
786	-0.048255	-2.755661	0.081234
794	-0.050815	-2.756220	0.081234
801	-0.055793	-2.757140	0.081234
811	-0.058947	-2.757801	0.081234
820	-0.062132	-2.758449	0.080915
829	-0.064559	-2.759081	0.080915
838	-0.068243	-2.760183	0.080915
847	-0.071047	-2.760851	0.080915
856	-0.073559	-2.761537	0.080915
865	-0.075119	-2.762222	0.080619
874	-0.077756	-2.763189	0.080619
882	-0.079803	-2.763808	0.080619
892	-0.081077	-2.764419	0.081012
902	-0.081524	-2.765181	0.750000
909	-0.082481	-2.766199	0.750000
915	-0.083004	-2.766778	0.750000
929	-0.082619	-2.767577	0.750000
937	-0.082348	-2.768156	0.750000
946	-0.087088	-2.769049	0.750000
957	-0.098541	-2.769697	0.750000
964	-0.116477	-2.770473	0.750000
982	-0.189918	-2.772882	0.750000
992	-0.260750	-2.775458	0.750000
1003	-0.305386	-2.777518	0.750000
1009	-0.348899	-2.779934	0.750000
1018	-0.388711	-2.782591	0.750000
1027	-0.448007	-2.787649	0.750000
1037	-0.478800	-2.790999	0.750000
1045	-0.508310	-2.794654	0.750000
1054	-0.537677	-2.798540	0.750000
1064	-0.579052	-2.804856	0.750000
1075	-0.605151	-2.809378	0.750000
1081	-0.630049	-2.814022	0.750000
1087	-0.650982	-2.818302	0.750000
1100	-0.690807	-2.827283	0.750000
1112	-0.709730	-2.832538	0.750000
1118	-0.726733	-2.837944	0.750000
1126	-0.740940	-2.843458	0.750000
1136	-0.759451	-2.852018	0.750000
1144	-0.771044	-2.857792	0.750000
1153	-0.782452	-2.864714	0.750000
1163	-0.791791	-2.870750	0.750000
1172	-0.802519	-2.876861	0.750000
1180	-0.816539	-2.886267	0.750000
1191	-0.821707	-2.892681	0.750000
1199	-0.824661	-2.899117	0.750000
1208	-0.826649	-2.905623	0.750000
1220	-0.828302	-2.916601	0.750000
1227	-0.827141	-2.923188	0.750000
