TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.020428	-2.504623	0.067046
     9	0.024492	-2.504267	0.066297
    18	0.027417	-2.503898	0.066297
    27	0.032015	-2.503321	0.066297
    36	0.034969	-2.502890	0.066297
    44	0.036583	-2.502516	0.066297
    56	0.038085	-2.502198	0.066297
    62	0.039814	-2.501725	0.065744
    75	0.040517	-2.501353	0.065744
    86	0.039694	-2.500937	0.066296
    91	0.039492	-2.500491	0.066296
    99	0.039458	-2.499968	0.066296
   108	0.039512	-2.499803	0.067305
   118	0.038288	-2.499770	0.067305
   126	0.036113	-2.499783	0.067305
   136	0.032579	-2.499746	0.067305
   143	0.030824	-2.499728	0.067305
   149	0.029018	-2.499812	0.067305
   162	0.026345	-2.499890	0.068402
   171	0.019749	-2.500120	0.068402
   180	0.015630	-2.500245	0.068402
   198	0.007553	-2.500466	0.069871
   207	0.004432	-2.500713	0.068045
  216	-0.000931	-2.501410	0.068045
  226	-0.005314	-2.501983	0.068045
  235	-0.008947	-2.502626	0.068045
  243	-0.012730	-2.503233	0.068045
  253	-0.019279	-2.504050	0.068045
  261	-0.026218	-2.504694	0.066178
  270	-0.031124	-2.505321	0.066178
  280	-0.035132	-2.506055	0.066178
  288	-0.040543	-2.507143	0.066178
  298	-0.044721	-2.507900	0.066178
  307	-0.048793	-2.508639	0.063861
  316	-0.051840	-2.509425	0.063861
  324	-0.056194	-2.510749	0.063861
  332	-0.058677	-2.511547	0.063861
  343	-0.060937	-2.512449	0.063861
  351	-0.062454	-2.513324	0.063861
  362	-0.063554	-2.514612	0.062721
  370	-0.064730	-2.515468	0.062721
  379	-0.067434	-2.516458	0.062721
  387	-0.069444	-2.517313	0.062721
  398	-0.069843	-2.518253	0.062721
  405	-0.068923	-2.519640	0.062721
  419	-0.069082	-2.520586	0.059949
  426	-0.068075	-2.521544	0.059949
  432	-0.067780	-2.522477	0.059949
  441	-0.066523	-2.524075	0.059949
  453	-0.066076	-2.525055	0.059949
  460	-0.066919	-2.525985	0.058223
  469	-0.067393	-2.526937	0.058223
  479	-0.066151	-2.528383	0.058223
  486	-0.066513	-2.529390	0.058223
  499	-0.066621	-2.530469	0.058223
  505	-0.065491	-2.531754	0.058375
  537	-0.062893	-2.535310	0.058475
  549	-0.062009	-2.537203	0.056483
  559	-0.060757	-2.538651	0.054354
  567	-0.059309	-2.539606	0.054354
  577	-0.058517	-2.540290	0.054354
  586	-0.056907	-2.541011	0.054354
  595	-0.054198	-2.542233	0.054354
  604	-0.052822	-2.542999	0.054354
  613	-0.052350	-2.543713	0.051889
  622	-0.050704	-2.544326	0.049427
  694	-0.033055	-2.547596	0.049361
  703	-0.031684	-2.547705	0.049361
  712	-0.030992	-2.547665	0.046266
  721	-0.031955	-2.547401	0.046266
  730	-0.032817	-2.547104	0.046266
  748	-0.035356	-2.547184	0.046266
  757	-0.036938	-2.547219	0.042754
  766	-0.038849	-2.547191	0.042754
  775	-0.039873	-2.547148	0.042754
 1487	-0.689308	-2.751608	0.750000
 1497	-0.693417	-2.757328	0.750000
 1506	-0.697290	-2.766999	0.750000
 1518	-0.700337	-2.772777	0.750000
 1524	-0.703281	-2.778681	0.750000
 1532	-0.705041	-2.784561	0.750000
 1542	-0.706128	-2.793471	0.750000
 1551	-0.705453	-2.799389	0.750000
 1560	-0.705127	-2.805281	0.750000
 1568	-0.704418	-2.812174	0.750000
 1579	-0.704559	-2.818062	0.750000
 1586	-0.703707	-2.826952	0.750000
 1596	-0.704452	-2.832849	0.750000
 1605	-0.705563	-2.838750	0.750000
 1614	-0.707270	-2.844597	0.750000
 1627	-0.707869	-2.853583	0.750000
 1633	-0.707717	-2.860573	0.750000
 1640	-0.708283	-2.866539	0.750000
 1650	-0.709617	-2.872517	0.750000
 1660	-0.711796	-2.881484	0.750000
 1668	-0.712331	-2.887431	0.750000
 1704	-0.710144	-2.915292	0.750000
 1713	-0.708035	-2.921185	0.750000
 1722	-0.705837	-2.926921	0.750000
 1736	-0.702233	-2.935544	0.750000
 1749	-0.695427	-2.947001	0.750000
 1758	-0.692281	-2.953693	0.750000
 1768	-0.689022	-2.959356	0.750000
 1775	-0.685050	-2.967850	0.750000
 1784	-0.682018	-2.973439	0.750000
 1803	-0.677892	-2.984546	0.750000
 1811	-0.676549	-2.993810	0.750000
 1821	-0.677096	-2.999130	0.750000
 1831	-0.679022	-3.004471	0.750000
 1839	-0.683081	-3.009851	0.750000
 1848	-0.691399	-3.018112	0.750000
 1857	-0.698537	-3.023618	0.750000
 1866	-0.706722	-3.029170	0.750000
 1874	-0.714611	-3.034790	0.750000
 1885	-0.727328	-3.044326	0.750000
 1892	-0.735645	-3.050054	0.750000
 1902	-0.742157	-3.055838	0.750000
 1911	-0.748359	-3.061656	0.750000
 1920	-0.755001	-3.067503	0.750000
 1929	-0.766232	-3.077476	0.750000
 1940	-0.772014	-3.083417	0.750000
 1947	-0.777706	-3.089392	0.750000
 1957	-0.783039	-3.095428	0.750000
 1965	-0.790103	-3.104549	0.750000
 1974	-0.793378	-3.110516	0.750000
 1983	-0.796843	-3.116519	0.750000
 1993	-0.800092	-3.122580	0.750000
 2000	-0.804438	-3.132977	0.750000
 2012	-0.806324	-3.139078	0.750000
 2019	-0.808145	-3.145259	0.750000
 2029	-0.807833	-3.151402	0.750000
 2037	-0.805418	-3.160702	0.750000
 2047	-0.803033	-3.166813	0.750000
 2055	-0.799674	-3.172836	0.750000
 2067	-0.794638	-3.179906	0.750000
 2073	-0.789953	-3.185914	0.750000
 2081	-0.783222	-3.194905	0.750000
 2092	-0.778185	-3.200731	0.750000
 2101	-0.772447	-3.206532	0.750000
 2109	-0.765524	-3.212297	0.750000
 2119	-0.756713	-3.220899	0.750000
 2128	-0.749653	-3.227489	0.750000
 2136	-0.742778	-3.233029	0.750000
 2146	-0.737244	-3.238494	0.750000
 2156	-0.732402	-3.246699	0.750000
 2163	-0.731418	-3.252085	0.750000
 2177	-0.731549	-3.257476	0.750000
 2183	-0.732290	-3.262869	0.750000
 2190	-0.737257	-3.272118	0.750000
 2200	-0.743381	-3.277572	0.750000
 2209	-0.751523	-3.283030	0.750000
 2217	-0.759975	-3.288644	0.750000
 2226	-0.774849	-3.297352	0.750000
 2235	-0.786089	-3.303193	0.750000
 2245	-0.795636	-3.309180	0.750000
 2254	-0.806487	-3.316273	0.750000
 2264	-0.819389	-3.325607	0.750000
 2272	-0.825053	-3.331815	0.750000
 2290	-0.841898	-3.344575	0.750000
 2299	-0.849074	-3.351028	0.750000
 2309	-0.856339	-3.360938	0.750000
 2318	-0.863974	-3.368712	0.750000
 2326	-0.870491	-3.375418	0.750000
 2335	-0.874314	-3.382057	0.750000
 2343	-0.876278	-3.392316	0.750000
 2355	-0.879522	-3.399114	0.750000
 2362	-0.882042	-3.405925	0.750000
 2371	-0.881449	-3.412798	0.750000
 2380	-0.874334	-3.424243	0.750000
 2389	-0.870016	-3.431015	0.750000
 2399	-0.864047	-3.437702	0.750000
 2407	-0.855304	-3.444371	0.750000
 2416	-0.837668	-3.454315	0.750000
 2425	-0.824579	-3.460750	0.750000
 2434	-0.811264	-3.467047	0.750000
 2443	-0.795072	-3.474330	0.750000
 2452	-0.777936	-3.480334	0.750000
 2460	-0.751831	-3.489261	0.750000
 2471	-0.736370	-3.494858	0.750000
 2479	-0.720335	-3.500317	0.750000
 2488	-0.702930	-3.505624	0.750000
 2497	-0.673074	-3.514393	0.750000
