TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.259202	0.130520	-0.130622
10	0.258429	0.132885	-0.130622
19	0.257975	0.135177	-0.127153
32	0.257667	0.137379	-0.127153
38	0.257772	0.140508	-0.127153
46	0.258427	0.142649	-0.127153
55	0.258931	0.144829	-0.127153
64	0.258409	0.147029	-0.123638
73	0.256834	0.150491	-0.123638
82	0.256680	0.152704	-0.123638
90	0.256398	0.154850	-0.123638
102	0.257119	0.157083	-0.123638
108	0.260500	0.160283	-0.123638
114	0.261908	0.161608	-0.120464
120	0.262678	0.162600	-0.120464
128	0.264796	0.165367	-0.120464
136	0.266664	0.167747	-0.120464
144	0.268941	0.171116	-0.117321
154	0.270488	0.173448	-0.117321
163	0.271294	0.175736	-0.117321
173	0.271821	0.178121	-0.114300
193	0.276695	0.184289	-0.114300
199	0.277840	0.187007	-0.300000
208	0.277497	0.189378	-0.300000
213	0.277481	0.190577	-0.300000
226	0.278626	0.194121	-0.300000
235	0.279520	0.197744	-0.300000
241	0.280334	0.200440	-0.300000
255	0.281129	0.203354	-0.300000
262	0.287928	0.205932	-0.300000
271	0.306712	0.209800	-0.300000
282	0.321290	0.212565	-0.300000
289	0.338291	0.215512	-0.300000
299	0.353605	0.218542	-0.300000
309	0.361194	0.221648	-0.300000
317	0.355930	0.226679	-0.300000
325	0.350860	0.229698	-0.300000
335	0.349322	0.232759	-0.300000
343	0.346941	0.235752	-0.300000
354	0.341993	0.240206	-0.300000
374	0.344804	0.246383	-0.300000
380	0.345780	0.249885	-0.300000
390	0.344754	0.254371	-0.300000
397	0.343923	0.257426	-0.300000
407	0.344763	0.260603	-0.300000
416	0.345650	0.263758	-0.300000
426	0.345762	0.268265	-0.300000
433	0.345381	0.271304	-0.300000
442	0.346426	0.274803	-0.300000
452	0.348638	0.277884	-0.300000
460	0.349004	0.282353	-0.300000
474	0.348519	0.285432	-0.300000
488	0.350499	0.291614	-0.300000
496	0.349649	0.294635	-0.300000
506	0.347991	0.299546	-0.300000
515	0.348956	0.302566	-0.300000
524	0.350799	0.305691	-0.300000
533	0.351714	0.308891	-0.300000
541	0.352781	0.313409	-0.300000
553	0.354115	0.316524	-0.300000
560	0.356637	0.319681	-0.300000
569	0.359571	0.323299	-0.300000
583	0.361970	0.327913	-0.300000
589	0.363617	0.331130	-0.300000
596	0.366144	0.334254	-0.300000
605	0.368236	0.337412	-0.300000
610	0.369350	0.339490	-0.300000
623	0.373041	0.345255	-0.300000
632	0.376530	0.349039	-0.300000
641	0.379384	0.352368	-0.300000
649	0.381891	0.357200	-0.300000
663	0.383240	0.360513	-0.300000
669	0.385221	0.363889	-0.300000
677	0.386270	0.367231	-0.300000
686	0.387689	0.370659	-0.300000
695	0.387725	0.376079	-0.300000
704	0.387701	0.379385	-0.300000
713	0.387738	0.382700	-0.300000
723	0.388610	0.386005	-0.300000
730	0.390051	0.390810	-0.300000
740	0.391871	0.394152	-0.300000
750	0.393014	0.397544	-0.300000
758	0.394488	0.401372	-0.300000
767	0.395881	0.406276	-0.300000
777	0.397077	0.409631	-0.300000
785	0.398376	0.413017	-0.300000
794	0.399334	0.416384	-0.300000
805	0.400029	0.421392	-0.300000
813	0.400597	0.424776	-0.300000
821	0.400697	0.428645	-0.300000
830	0.399953	0.432046	-0.300000
839	0.400121	0.435447	-0.300000
849	0.400385	0.440449	-0.300000
857	0.400826	0.443843	-0.300000
867	0.400736	0.447187	-0.300000
876	0.401214	0.450646	-0.300000
884	0.401930	0.456158	-0.300000
893	0.402750	0.459552	-0.300000
903	0.404405	0.462921	-0.300000
915	0.405812	0.466274	-0.300000
921	0.408495	0.471415	-0.300000
930	0.410273	0.474911	-0.300000
939	0.412866	0.478511	-0.300000
947	0.415953	0.482610	-0.300000
955	0.419457	0.487875	-0.300000
967	0.420596	0.491481	-0.300000
975	0.421982	0.495020	-0.300000
985	0.423677	0.498670	-0.300000
993	0.425894	0.504032	-0.300000
1001	0.427520	0.508207	-0.300000
1010	0.428045	0.511840	-0.300000
1016	0.428164	0.514359	-0.300000
1038	0.427957	0.524533	-0.300000
1047	0.427813	0.528273	-0.300000
1055	0.428375	0.531970	-0.300000
1065	0.427995	0.536229	-0.300000
1074	0.426516	0.541604	-0.300000
1083	0.425179	0.545245	-0.300000
1088	0.424512	0.548939	-0.300000
1101	0.423855	0.552627	-0.300000
1109	0.422312	0.557949	-0.300000
1115	0.420857	0.561565	-0.300000
1133	0.419304	0.565750	-0.300000
1138	0.418983	0.569375	-0.300000
1146	0.416986	0.574638	-0.300000
1155	0.415867	0.578215	-0.300000
1164	0.414808	0.581777	-0.300000
1172	0.413852	0.585327	-0.300000
1182	0.413071	0.588909	-0.300000
1191	0.410254	0.594649	-0.300000
1201	0.408985	0.598115	-0.300000
1209	0.407187	0.601694	-0.300000
1218	0.404746	0.605202	-0.300000
1227	0.401376	0.610318	-0.300000
1235	0.398684	0.613763	-0.300000
1245	0.396275	0.617237	-0.300000
1255	0.393915	0.621242	-0.300000
1262	0.390579	0.626215	-0.300000
1272	0.388753	0.629609	-0.300000
1282	0.387884	0.632977	-0.300000
1290	0.386698	0.636281	-0.300000
1298	0.385382	0.641126	-0.300000
1310	0.385061	0.644465	-0.300000
1317	0.385296	0.648279	-0.300000
1327	0.386372	0.651603	-0.300000
1335	0.387486	0.656470	-0.300000
1344	0.387434	0.659816	-0.300000
1355	0.387806	0.663181	-0.300000
1363	0.387990	0.666574	-0.300000
1371	0.386395	0.669885	-0.300000
1380	0.386252	0.675352	-0.300000
1390	0.386013	0.678749	-0.300000
1398	0.385823	0.682071	-0.300000
1409	0.385117	0.685395	-0.300000
1418	0.384255	0.690267	-0.300000
1426	0.384198	0.693518	-0.300000
1435	0.383066	0.696810	-0.300000
1444	0.380626	0.700580	-0.300000
1452	0.377990	0.705268	-0.300000
1466	0.376918	0.708480	-0.300000
1472	0.375795	0.711750	-0.300000
1479	0.374319	0.714966	-0.300000
1490	0.371534	0.719767	-0.300000
1498	0.369776	0.723120	-0.300000
1506	0.366998	0.726852	-0.300000
1515	0.364692	0.730018	-0.300000
1526	0.362310	0.734606	-0.300000
1533	0.361153	0.737685	-0.300000
1543	0.360140	0.740844	-0.300000
1551	0.358351	0.743929	-0.300000
1561	0.356792	0.747077	-0.300000
1574	0.355380	0.752030	-0.300000
1580	0.354375	0.755108	-0.300000
1588	0.352453	0.758190	-0.300000
1597	0.350186	0.761261	-0.300000
1605	0.348814	0.765649	-0.300000
1615	0.348236	0.768672	-0.300000
1624	0.346983	0.771621	-0.300000
1633	0.344814	0.775042	-0.300000
1641	0.342684	0.779372	-0.300000
1647	0.341608	0.781815	-0.300000
1661	0.340522	0.785306	-0.300000
1669	0.339845	0.788309	-0.300000
1683	0.339708	0.792691	-0.300000
1696	0.340053	0.799084	-0.300000
1706	0.338851	0.802079	-0.300000
1715	0.338828	0.806357	-0.300000
1723	0.339741	0.809306	-0.300000
1732	0.339421	0.812348	-0.300000
1741	0.338196	0.815353	-0.300000
1750	0.337109	0.818341	-0.300000
1759	0.337284	0.823058	-0.300000
1768	0.337203	0.826075	-0.300000
1777	0.337728	0.829029	-0.300000
1786	0.337694	0.832054	-0.300000
1795	0.338412	0.836353	-0.300000
1804	0.339538	0.839315	-0.300000
1816	0.340337	0.842242	-0.300000
1822	0.341454	0.845571	-0.300000
1832	0.343676	0.849943	-0.300000
1840	0.344858	0.852940	-0.300000
1850	0.346726	0.855905	-0.300000
1858	0.348024	0.858921	-0.300000
1867	0.350862	0.863378	-0.300000
1877	0.353089	0.866969	-0.300000
1885	0.354778	0.870086	-0.300000
1894	0.356620	0.873195	-0.300000
1906	0.360296	0.877818	-0.300000
1912	0.362714	0.880981	-0.300000
1921	0.363842	0.884129	-0.300000
1931	0.364127	0.887315	-0.300000
1940	0.363969	0.890980	-0.300000
1948	0.366405	0.895566	-0.300000
1958	0.368154	0.898876	-0.300000
1966	0.369057	0.902107	-0.300000
1975	0.369714	0.905287	-0.300000
1984	0.371109	0.909934	-0.300000
1994	0.370904	0.913172	-0.300000
2003	0.370437	0.916791	-0.300000
2016	0.370882	0.919942	-0.300000
2022	0.371844	0.924689	-0.300000
2029	0.372145	0.927922	-0.300000
2038	0.372437	0.931169	-0.300000
2048	0.372199	0.934489	-0.300000
2056	0.372981	0.939211	-0.300000
2066	0.372357	0.943013	-0.300000
2074	0.370961	0.946252	-0.300000
2084	0.370738	0.949552	-0.300000
2093	0.370924	0.954235	-0.300000
2101	0.372515	0.957427	-0.300000
2111	0.374732	0.960659	-0.300000
2124	0.375093	0.963838	-0.300000
2131	0.375561	0.967098	-0.300000
2138	0.375496	0.972267	-0.300000
2147	0.375156	0.975557	-0.300000
2155	0.375692	0.978783	-0.300000
2165	0.376428	0.982042	-0.300000
2174	0.377000	0.986742	-0.300000
2183	0.377205	0.990057	-0.300000
2192	0.378291	0.993945	-0.300000
2200	0.380036	0.997250	-0.300000
2209	0.379346	1.002025	-0.300000
2233	0.377802	1.008521	-0.300000
2239	0.379671	1.011828	-0.300000
2246	0.380741	1.016590	-0.300000
2255	0.379325	1.020392	-0.300000
2264	0.378363	1.023621	-0.300000
2269	0.378137	1.025484	-0.300000
2282	0.377332	1.030134	-0.300000
2292	0.375845	1.034942	-0.300000
2300	0.375666	1.038300	-0.300000
2309	0.376381	1.041575	-0.300000
2314	0.376985	1.042849	-0.300000
2323	0.377108	1.045318	-0.300000
2336	0.374715	1.053192	-0.300000
2346	0.373823	1.056500	-0.300000
2355	0.372593	1.059799	-0.300000
2362	0.368965	1.064451	-0.300000
2371	0.366807	1.067618	-0.300000
2382	0.365042	1.071262	-0.300000
2390	0.363202	1.074352	-0.300000
2399	0.359514	1.078930	-0.300000
2409	0.357507	1.081993	-0.300000
2418	0.356139	1.085147	-0.300000
2426	0.355390	1.088219	-0.300000
2435	0.352543	1.092687	-0.300000
2445	0.349798	1.096208	-0.300000
2458	0.348219	1.099282	-0.300000
2464	0.346747	1.102284	-0.300000
2473	0.343689	1.105243	-0.300000
2481	0.338932	1.109629	-0.300000
2490	0.335782	1.112553	-0.300000
2499	0.332784	1.115460	-0.300000
2507	0.328267	1.118758	-0.300000
2516	0.323037	1.122912	-0.300000
2526	0.320518	1.125694	-0.300000
2535	0.318416	1.128466	-0.300000
2544	0.316256	1.131307	-0.300000
2552	0.312585	1.135283	-0.300000
2565	0.309812	1.137991	-0.300000
2571	0.309277	1.141139	-0.300000
2579	0.308621	1.143784	-0.300000
2589	0.305757	1.147735	-0.300000
2598	0.304197	1.150479	-0.300000
2606	0.302372	1.153160	-0.300000
2615	0.301091	1.155828	-0.300000
2625	0.300267	1.159702	-0.300000
2633	0.299712	1.162709	-0.300000
2643	0.300023	1.165397	-0.300000
2652	0.299317	1.168129	-0.300000
2660	0.298933	1.170765	-0.300000
2674	0.298429	1.174567	-0.300000
2680	0.298752	1.177258	-0.300000
2687	0.299533	1.179873	-0.300000
2693	0.300180	1.181703	-0.300000
2707	0.301856	1.186895	-0.300000
2714	0.302581	1.189536	-0.300000
2723	0.303166	1.192213	-0.300000
2729	0.304123	1.194165	-0.300000
2742	0.307047	1.198839	-0.300000
2751	0.308493	1.202028	-0.300000
2760	0.309585	1.204828	-0.300000
2769	0.311553	1.207579	-0.300000
2777	0.313719	1.211515	-0.300000
2788	0.316455	1.214261	-0.300000
2796	0.318177	1.217010	-0.300000
2805	0.319793	1.219749	-0.300000
2814	0.321898	1.222491	-0.300000
