TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.072662	0.734403	0.036601
8	-0.071095	0.733949	0.036601
17	-0.069149	0.733502	0.036601
27	-0.066295	0.733083	0.036601
39	-0.062790	0.732454	0.038327
46	-0.060564	0.732075	0.038327
54	-0.057531	0.731615	0.038327
63	-0.054397	0.731279	0.038327
72	-0.050800	0.730763	0.038327
80	-0.048131	0.730424	0.038327
90	-0.044874	0.730118	0.040978
99	-0.042864	0.729797	0.040978
108	-0.040255	0.729544	0.040978
116	-0.035723	0.729094	0.040978
126	-0.034173	0.728873	0.040978
135	-0.032312	0.728637	0.043662
152	-0.026966	0.728081	0.041976
162	-0.025402	0.727923	0.041976
171	-0.024724	0.727816	0.041976
180	-0.023722	0.727627	0.041976
188	-0.021349	0.727338	0.041177
198	-0.019357	0.727180	0.040164
207	-0.017626	0.726989	0.040164
216	-0.015749	0.726822	0.040164
226	-0.013926	0.726613	0.040164
234	-0.013116	0.726466	0.038300
243	-0.011609	0.726320	0.038300
252	-0.010772	0.726178	0.038300
261	-0.010067	0.726035	0.034064
271	-0.010327	0.725882	0.034064
280	-0.010251	0.725829	0.034064
288	-0.010074	0.725734	0.029628
297	-0.009884	0.725674	0.029628
305	-0.011567	0.725466	0.029628
317	-0.012821	0.725282	0.029628
324	-0.013239	0.725125	0.029628
333	-0.013413	0.724935	0.025237
343	-0.015212	0.724688	0.025237
351	-0.015900	0.724493	0.025237
360	-0.015815	0.724337	0.025237
370	-0.015946	0.724107	0.017981
377	-0.016754	0.723807	0.017981
389	-0.017146	0.723624	0.010427
396	-0.016882	0.723429	0.010427
405	-0.016702	0.723245	0.010427
415	-0.017692	0.722990	0.010427
424	-0.016998	0.722827	0.010427
432	-0.017343	0.722590	0.002927
441	-0.017486	0.722423	0.002927
450	-0.016741	0.722230	0.002927
459	-0.015459	0.722014	0.002927
469	-0.015436	0.721881	0.002927
481	-0.014902	0.721700	-0.011780
486	-0.013559	0.721549	-0.011780
495	-0.012161	0.721329	-0.011780
507	-0.010788	0.721237	-0.011780
514	-0.010170	0.721184	-0.011780
522	-0.009541	0.721115	-0.011780
532	-0.008458	0.720996	-0.016736
539	-0.006567	0.720905	-0.016736
552	-0.004921	0.720877	-0.016736
558	-0.003534	0.720831	-0.016736
568	-0.002439	0.720880	-0.016736
577	-0.001631	0.721011	-0.016736
589	-0.000520	0.721070	-0.021600
595	0.000947	0.721092	-0.021600
603	0.002736	0.721134	-0.021600
613	0.004349	0.721215	-0.021600
622	0.006374	0.721295	-0.021600
630	0.007980	0.721398	-0.021600
640	0.009276	0.721546	-0.024099
648	0.010514	0.721729	-0.024099
657	0.010195	0.721853	-0.024099
667	0.011045	0.721990	-0.024099
676	0.011158	0.722109	-0.024099
685	0.010030	0.722413	-0.026419
698	0.009501	0.722570	-0.026419
704	0.010188	0.722758	-0.026419
712	0.010789	0.722923	-0.026419
720	0.009115	0.723178	-0.026419
731	0.007536	0.723365	-0.028907
739	0.006779	0.723561	-0.028907
750	0.006384	0.723812	-0.028907
758	0.004650	0.724156	-0.028907
766	0.002921	0.724296	-0.028907
776	0.002384	0.724434	-0.028907
784	0.001064	0.724552	-0.028604
794	-0.000929	0.724665	-0.028604
811	-0.008229	0.724860	-0.028604
820	-0.010889	0.724961	-0.028604
829	-0.012340	0.725007	-0.028604
837	-0.015139	0.725073	-0.028296
849	-0.016599	0.725119	-0.028296
857	-0.016913	0.725134	-0.028296
865	-0.018202	0.725190	-0.028296
