TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.117074	-2.723055	0.017507
8	0.118674	-2.721227	0.017507
18	0.119022	-2.720158	0.017507
27	0.119538	-2.719086	0.017507
36	0.119685	-2.718058	0.017507
45	0.121552	-2.716482	0.017057
54	0.123334	-2.715451	0.017057
64	0.124568	-2.714417	0.017057
72	0.125672	-2.713219	0.017057
82	0.128611	-2.711719	0.017057
90	0.130029	-2.710774	0.017057
100	0.130855	-2.709792	0.016645
108	0.131926	-2.708875	0.016645
117	0.132849	-2.707952	0.016645
126	0.134774	-2.706580	0.016645
135	0.136076	-2.705503	0.016645
144	0.136215	-2.704625	0.015951
154	0.135812	-2.703789	0.015951
162	0.135561	-2.702509	0.015951
174	0.135533	-2.701720	0.015951
180	0.134370	-2.700928	0.015951
189	0.132995	-2.700139	0.015951
197	0.131269	-2.698811	0.015225
209	0.130156	-2.698073	0.015225
216	0.129100	-2.697320	0.015225
225	0.129084	-2.696598	0.015225
234	0.130180	-2.695431	0.015225
244	0.131608	-2.694666	0.014578
252	0.132749	-2.693867	0.014578
263	0.133992	-2.692919	0.014578
270	0.135557	-2.692095	0.014578
284	0.138227	-2.690773	0.014578
290	0.140079	-2.689902	0.014578
297	0.141557	-2.689020	0.013974
306	0.142624	-2.688115	0.013974
317	0.142035	-2.686692	0.013974
324	0.140077	-2.685583	0.013974
333	0.137649	-2.684687	0.013974
343	0.135420	-2.683804	0.013457
351	0.131532	-2.682436	0.013457
357	0.130132	-2.681947	0.013457
366	0.128519	-2.681576	0.013457
379	0.120341	-2.679885	0.013457
391	0.111445	-2.678540	0.012481
398	0.106020	-2.677826	0.011796
405	0.099810	-2.677153	0.011796
414	0.093905	-2.676581	0.011796
424	0.085887	-2.675744	0.011796
433	0.079903	-2.675307	0.011796
442	0.073870	-2.674888	0.011796
451	0.067833	-2.674457	0.011154
459	0.063380	-2.674127	0.011154
469	0.057403	-2.673679	0.011154
478	0.054904	-2.673427	0.011154
486	0.051730	-2.673230	0.011154
496	0.049076	-2.673084	0.010577
513	0.045671	-2.672529	0.010577
523	0.045432	-2.672230	0.010577
533	0.045315	-2.671928	0.010577
540	0.047821	-2.671637	0.010577
545	0.048831	-2.671515	0.010598
552	0.049791	-2.671449	0.010598
559	0.052474	-2.671352	0.010598
568	0.054467	-2.671285	0.010598
577	0.058328	-2.670916	0.010598
586	0.060737	-2.670620	0.010598
595	0.063687	-2.670314	0.010649
603	0.066494	-2.669973	0.010649
613	0.067689	-2.669297	0.011437
622	0.069404	-2.668870	0.011437
630	0.070667	-2.668294	0.011437
640	0.070779	-2.667699	0.011437
649	0.070316	-2.667037	0.012237
657	0.070894	-2.666003	0.012237
667	0.069688	-2.665419	0.012237
676	0.068246	-2.664921	0.012237
685	0.066387	-2.664332	0.012237
694	0.062856	-2.663214	0.012969
703	0.059564	-2.662562	0.012969
712	0.056140	-2.661975	0.012969
723	0.052768	-2.661380	0.012969
729	0.047451	-2.660492	0.012969
748	0.040021	-2.659465	0.014172
757	0.035731	-2.658881	0.014172
767	0.032742	-2.658208	0.014172
