TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	0.114015	-2.125395	0.048855
      9	0.107984	-2.124975	0.048855
     18	0.098683	-2.124435	0.048855
     28	0.091434	-2.124168	0.048855
     37	0.084501	-2.123971	0.048594
     46	0.078924	-2.123800	0.048594
     54	0.074344	-2.123652	0.048594
     64	0.063757	-2.123364	0.048594
     72	0.057840	-2.123215	0.048594
     81	0.052141	-2.123112	0.048594
     87	0.048345	-2.123047	0.048299
    154	0.021657	-2.121943	0.046123
    163	0.020729	-2.121731	0.046123
    172	0.018813	-2.121382	0.046123
    180	0.018298	-2.121099	0.046123
    189	0.018189	-2.120869	0.043635
    200	0.017552	-2.120619	0.044475
    208	0.017816	-2.120274	0.044475
    216	0.019048	-2.119677	0.044475
    226	0.020771	-2.119251	0.044475
    235	0.022574	-2.118812	0.043967
    243	0.024845	-2.118226	0.043967
    252	0.027813	-2.117355	0.043967
    263	0.030372	-2.116717	0.043967
    271	0.033675	-2.116073	0.043967
    280	0.037532	-2.115374	0.043967
    288	0.042952	-2.114263	0.043019
    300	0.047174	-2.113460	0.043019
    309	0.052534	-2.112498	0.044353
    315	0.056706	-2.111649	0.044353
    381	0.094017	-2.103635	0.044600
    388	0.099175	-2.102593	0.044280
    397	0.104599	-2.101504	0.044280
    406	0.110668	-2.099850	0.044280
    533	0.157851	-2.082433	0.050799
    686	0.103566	-2.068064	0.045651
  1164	-0.066071	-2.042979	0.800000
  1173	-0.090604	-2.043871	0.800000
  1181	-0.119196	-2.045122	0.800000
  1199	-0.165089	-2.048369	0.800000
  1210	-0.180151	-2.049918	0.800000
  1217	-0.197352	-2.051583	0.800000
  1227	-0.214289	-2.053370	0.800000
  1235	-0.233958	-2.056208	0.800000
  1245	-0.245517	-2.058574	0.800000
  1253	-0.254992	-2.060663	0.800000
  1262	-0.265611	-2.062825	0.800000
  1271	-0.275193	-2.065102	0.800000
  1277	-0.280668	-2.066714	0.800000
  1331	-0.337101	-2.085871	0.800000
  1343	-0.342527	-2.088661	0.800000
  1352	-0.347188	-2.092865	0.800000
  1361	-0.349044	-2.095694	0.800000
  1371	-0.351994	-2.099006	0.800000
  1379	-0.355892	-2.101869	0.800000
  1388	-0.360019	-2.106185	0.800000
  1398	-0.362486	-2.109116	0.800000
  1410	-0.365557	-2.112065	0.800000
  1416	-0.368771	-2.115002	0.800000
  1425	-0.375748	-2.119408	0.800000
  1434	-0.381660	-2.122913	0.800000
  1443	-0.387885	-2.126007	0.800000
  1451	-0.394922	-2.129135	0.800000
  1461	-0.402484	-2.132345	0.800000
  1470	-0.413637	-2.137266	0.800000
  1479	-0.422069	-2.140674	0.800000
  1488	-0.431043	-2.144111	0.800000
  1497	-0.440574	-2.148182	0.800000
  1507	-0.450321	-2.153436	0.800000
  1519	-0.457245	-2.157031	0.800000
  1525	-0.464689	-2.160645	0.800000
  1533	-0.471709	-2.164315	0.800000
  1542	-0.479530	-2.169884	0.800000
  1551	-0.483686	-2.173566	0.800000
  1560	-0.488010	-2.177984	0.800000
  1569	-0.491290	-2.181728	0.800000
  1578	-0.495191	-2.187408	0.800000
  1587	-0.497641	-2.191309	0.800000
  1596	-0.500311	-2.195312	0.800000
  1605	-0.502482	-2.199401	0.800000
  1615	-0.505012	-2.206007	0.800000
  1628	-0.507163	-2.210001	0.800000
  1633	-0.509080	-2.214009	0.800000
  1641	-0.510935	-2.218025	0.800000
  1650	-0.512818	-2.222050	0.800000
  1659	-0.514331	-2.228099	0.800000
  1668	-0.516193	-2.232159	0.800000
  1673	-0.516971	-2.233463	0.800000
  1688	-0.520933	-2.241065	0.800000
  1695	-0.522005	-2.247294	0.800000
  1705	-0.522271	-2.251468	0.800000
  1714	-0.522096	-2.255621	0.800000
  1722	-0.521296	-2.259786	0.800000
  1730	-0.518551	-2.266101	0.800000
  1741	-0.516069	-2.270985	0.800000
  1749	-0.513408	-2.275194	0.800000
  1758	-0.510834	-2.279371	0.800000
