TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.097995	-2.557515	0.081282
    9	-0.096525	-2.558539	0.081282
   18	-0.094616	-2.559465	0.082928
   27	-0.089860	-2.560961	0.082928
   36	-0.086750	-2.561735	0.082928
   45	-0.083211	-2.562482	0.082928
   55	-0.080650	-2.563145	0.082928
   62	-0.078220	-2.564050	0.082928
   75	-0.076230	-2.564583	0.084468
   81	-0.073857	-2.565108	0.084468
   90	-0.072108	-2.565622	0.084468
  101	-0.070392	-2.566256	0.089667
  109	-0.070115	-2.566629	0.089667
  117	-0.069580	-2.566956	0.090787
  126	-0.070435	-2.567270	0.090787
  145	-0.073478	-2.568172	0.090787
  153	-0.076060	-2.568562	0.090787
  165	-0.078375	-2.568906	0.091340
  171	-0.081184	-2.569215	0.091340
  180	-0.086188	-2.569760	0.091340
  190	-0.089311	-2.570208	0.091340
  199	-0.092527	-2.570642	0.091340
  210	-0.095656	-2.571071	0.091340
  217	-0.099986	-2.571857	0.091772
  225	-0.101445	-2.572242	0.091772
  231	-0.102976	-2.572639	0.091772
  240	-0.104236	-2.573071	0.091772
  252	-0.106328	-2.573876	0.091772
  262	-0.107638	-2.574456	0.091772
  271	-0.108565	-2.575033	0.092185
  282	-0.108348	-2.575726	0.092185
  289	-0.107243	-2.576557	0.092185
  297	-0.105428	-2.577090	0.092185
  307	-0.103391	-2.577674	0.092185
  319	-0.101382	-2.578227	0.090584
  326	-0.096793	-2.579078	0.090584
  334	-0.093615	-2.579539	0.090584
  343	-0.089488	-2.580136	0.090584
  352	-0.086264	-2.580634	0.090584
  360	-0.083863	-2.581175	0.090584
  370	-0.078567	-2.582108	0.088837
  379	-0.073674	-2.582701	0.088837
  389	-0.068681	-2.583330	0.088837
  397	-0.063793	-2.583958	0.088837
  405	-0.055795	-2.585032	0.088837
  417	-0.050863	-2.585638	0.087016
  428	-0.047432	-2.586285	0.087016
  435	-0.045483	-2.586951	0.087016
  442	-0.044533	-2.587996	0.087016
  451	-0.043849	-2.588726	0.087016
  460	-0.043347	-2.589447	0.087016
  469	-0.043379	-2.590337	0.085232
  478	-0.044356	-2.591557	0.085232
  487	-0.045278	-2.592366	0.085232
  497	-0.047451	-2.593177	0.085232
  505	-0.049959	-2.594014	0.085232
  513	-0.054636	-2.595334	0.085232
  525	-0.059594	-2.596345	0.083376
  537	-0.063784	-2.597230	0.083376
  550	-0.071817	-2.599106	0.083376
  559	-0.078695	-2.600548	0.083376
  568	-0.083531	-2.601496	0.077835
  577	-0.088203	-2.602413	0.077835
  583	-0.092916	-2.603341	0.077835
  596	-0.102445	-2.604890	0.077835
  604	-0.107618	-2.605751	0.077835
  613	-0.111516	-2.606596	0.077835
  622	-0.115657	-2.607491	0.071839
  631	-0.122766	-2.608817	0.071839
  640	-0.127777	-2.609685	0.071839
  650	-0.131916	-2.610547	0.900000
  659	-0.135350	-2.611577	0.071839
  667	-0.140922	-2.612866	0.900000
  677	-0.143974	-2.613716	1.845155
  730	-0.187193	-2.619097	0.900000
  741	-0.202146	-2.620007	0.900000
  748	-0.225359	-2.622018	0.900000
  761	-0.236476	-2.623315	0.900000
  767	-0.241889	-2.624910	0.900000
  776	-0.252919	-2.626820	0.900000
  785	-0.290311	-2.629652	0.900000
  793	-0.326388	-2.631725	0.900000
  803	-0.366028	-2.634168	0.900000
  812	-0.408525	-2.636945	0.900000
  820	-0.474231	-2.641813	0.900000
  832	-0.516697	-2.645575	0.900000
  839	-0.564078	-2.650386	0.900000
  848	-0.600631	-2.654773	0.900000
  857	-0.652356	-2.662090	0.900000
  871	-0.685910	-2.667217	0.900000
  877	-0.714449	-2.672694	0.900000
  884	-0.739009	-2.678389	0.900000
  892	-0.768305	-2.687273	0.900000
  904	-0.787557	-2.694556	0.900000
  911	-0.799360	-2.700819	0.900000
  923	-0.807470	-2.707279	0.900000
  929	-0.813098	-2.713753	0.900000
  967	-0.844243	-2.745092	0.900000
  978	-0.855834	-2.755439	0.900000
  984	-0.864673	-2.762535	0.900000
  992	-0.872995	-2.769503	0.900000
 1001	-0.882418	-2.776644	0.900000
 1010	-0.895640	-2.787508	0.900000
 1019	-0.903601	-2.794872	0.900000
 1037	-0.919854	-2.811143	0.900000
 1047	-0.931039	-2.822657	0.900000
 1055	-0.938028	-2.830377	0.900000
 1064	-0.945018	-2.838119	0.900000
 1073	-0.951541	-2.845980	0.900000
 1082	-0.956769	-2.853846	0.900000
 1092	-0.963262	-2.867200	0.900000
 1100	-0.966549	-2.875240	0.900000
 1109	-0.971627	-2.883296	0.900000
 1120	-0.977097	-2.891335	0.900000
 1127	-0.984811	-2.903553	0.900000
 1138	-0.990228	-2.911755	0.900000
 1145	-0.996872	-2.921449	0.900000
 1154	-1.001406	-2.929815	0.900000
 1163	-1.005166	-2.942500	0.900000
 1173	-1.003912	-2.950978	0.900000
 1181	-0.999780	-2.959424	0.900000
 1191	-0.990991	-2.967833	0.900000
 1199	-0.967951	-2.980356	0.900000
 1209	-0.948409	-2.988494	0.900000
 1218	-0.923590	-2.997814	0.900000
 1227	-0.900957	-3.005557	0.900000
 1235	-0.867175	-3.016890	0.900000
 1244	-0.846522	-3.024150	0.900000
 1262	-0.810479	-3.038242	0.900000
 1272	-0.795575	-3.045018	0.900000
 1281	-0.773321	-3.056233	0.900000
 1290	-0.763768	-3.062740	0.900000
 1298	-0.755598	-3.069172	0.900000
 1310	-0.748553	-3.075540	0.900000
 1317	-0.741140	-3.085015	0.900000
 1325	-0.738506	-3.091214	0.900000
 1337	-0.737333	-3.097361	0.900000
 1344	-0.737599	-3.104565	0.900000
 1352	-0.738278	-3.113867	0.900000
 1366	-0.739418	-3.119976	0.900000
 1372	-0.741818	-3.126026	0.900000
 1380	-0.742706	-3.132131	0.900000
 1389	-0.744351	-3.141331	0.900000
 1399	-0.747085	-3.148427	0.900000
 1407	-0.749869	-3.154462	0.900000
 1426	-0.759338	-3.169778	0.900000
 1434	-0.764755	-3.175904	0.900000
 1453	-0.783240	-3.188164	0.900000
 1461	-0.796517	-3.195584	0.900000
 1469	-0.815188	-3.205338	0.900000
 1479	-0.828223	-3.211853	0.900000
