TIMESTAMPms	M1ATTITUDEyawspeed	M1ATTITUDEyaw	Rud
0	-0.014785	-1.186704	-0.041469
37	-0.005603	-1.188143	0.020673
45	-0.003153	-1.188486	0.020673
55	-0.001469	-1.188727	0.019674
64	-0.000146	-1.188987	0.019674
72	0.000394	-1.189212	0.019793
162	-0.002806	-1.191667	0.017474
174	-0.003492	-1.191872	0.017474
180	-0.003501	-1.192058	0.017474
190	-0.004035	-1.192245	0.017474
201	-0.005721	-1.192432	0.016362
208	-0.005458	-1.192583	0.016362
217	-0.004064	-1.192707	0.016362
226	-0.003261	-1.192828	0.016362
235	-0.002253	-1.192903	0.016362
245	-0.000515	-1.192957	0.016362
253	0.000716	-1.192999	0.015271
262	0.002483	-1.193007	0.015271
271	0.005250	-1.192996	0.015271
280	0.009087	-1.192847	0.015271
289	0.011389	-1.192755	0.015271
298	0.014247	-1.192664	0.014200
311	0.016895	-1.192553	0.014200
321	0.019403	-1.192311	0.014200
330	0.021110	-1.192181	0.014200
343	0.024822	-1.191846	0.014200
351	0.026448	-1.191551	0.013148
361	0.029002	-1.191417	0.013148
370	0.031855	-1.191248	0.013148
379	0.034354	-1.191048	0.121714
427	0.051524	-1.189489	0.012139
433	0.052687	-1.189209	-0.388404
441	0.053963	-1.188732	-0.388404
451	0.054371	-1.188473	-0.388894
460	0.054649	-1.188314	-0.388894
469	0.055094	-1.188146	-0.388894
478	0.055822	-1.187829	-0.388894
488	0.062731	-1.187648	-0.388894
497	0.081549	-1.187390	-0.389411
508	0.113844	-1.186778	-0.389411
516	0.177736	-1.185377	-0.389411
533	0.270726	-1.182385	-0.389795
541	0.305248	-1.180461	-0.389795
550	0.342215	-1.177067	-0.390141
561	0.363520	-1.174220	-0.390141
568	0.375136	-1.172097	-0.390141
579	0.388857	-1.168973	-0.390141
586	0.404172	-1.164724	-0.390141
596	0.413817	-1.161835	-0.390464
605	0.422567	-1.158951	-0.390464
613	0.429435	-1.155906	-0.390464
621	0.436004	-1.151162	-0.390464
641	0.447710	-1.144694	-0.390880
650	0.453635	-1.141367	-0.391251
659	0.464137	-1.135615	-0.391251
730	0.494491	-1.100759	-0.391575
741	0.493750	-1.096757	-0.391575
752	0.492682	-1.092696	-0.391834
759	0.491807	-1.088641	-0.391834
767	0.491446	-1.082413	-0.391834
777	0.491456	-1.078278	-0.391834
785	0.490985	-1.073367	-0.391834
